"Category"	"Unique: cis < 10Kbp"	"Unique: cis > 10Kbp"	"Unique: trans"	"Duplicate read pairs"
"PCa13266"	13880095	293506547	434851894	114508473
"PCa13848"	19259206	224783726	209717176	53662547
"PCa14121"	9661234	236819624	456294180	117311782
"PCa19121"	10821388	225866603	314824865	75087674
"PCa3023"	13033814	229988430	278127083	69561104
"PCa33173"	17857933	360384343	313511834	101903861
"PCa40507"	8253090	185948119	313234368	86019563
"PCa51852"	10126539	253879329	518616068	118562999
"PCa53687"	12376639	206039523	292426683	71748720
"PCa56413"	12988610	246423906	299227243	91472567
"PCa57054"	16765629	324907563	477899334	175133984
"PCa57294"	10770222	273846946	380717302	117282205
"PCa58215"	13563279	244950554	297015132	82090204
