SampleID	PCa13266	PCa13848	PCa14121	PCa19121	PCa3023	PCa33173	PCa40507	PCa51852	PCa53687	PCa56413	PCa57294	PCa58215	Benign-Prostate-1648133	Benign-Prostate-1595983	Benign-Prostate-1664855	Benign-Prostate-3320942	Benign-Prostate-3330581
PCa13266	0.999045800698639	0.952548232075101	0.967675396697032	0.975645985429395	0.960389582096935	0.987182916648013	0.979800170132682	0.985188149312243	0.930667624710747	0.948107424129072	0.965187774207555	0.9703200404484	0.981220096996326	0.98158393709281	0.986493258681923	0.978603130652527	0.908339575583957
PCa13848	0.952842855784634	0.99970155892528	0.920984059194568	0.969290946427951	0.957271659416053	0.969566281063442	0.930489345982866	0.944704056000254	0.915478527783736	0.909038400902166	0.948258720561389	0.970816325264778	0.950299339023355	0.956686874786543	0.960346703766909	0.967255745968072	0.958158573454963
PCa14121	0.967375308423094	0.921110729897531	0.998826049654855	0.952433887437617	0.934924983262823	0.959265276922962	0.968361335160153	0.959546254972078	0.936650442510979	0.957091898298387	0.96445210932531	0.955652458355346	0.958556672290776	0.948492888624824	0.972218322721474	0.947866445998661	0.870270888669914
PCa19121	0.975972556261193	0.969350460540346	0.952383138216469	0.999361077306462	0.970359263409856	0.979482073296264	0.965218522964051	0.97283781278944	0.933835851380966	0.945504832758977	0.96458994574508	0.966474827121257	0.965799350698258	0.969094606337711	0.974256705130759	0.967514399137059	0.917168842819464
PCa3023	0.959974825277571	0.957628729599266	0.935570030853773	0.970569517852027	0.999608226825597	0.972416758612207	0.947958127528388	0.951738664253336	0.89251964094003	0.93683382031554	0.936873297595193	0.953933982600083	0.97042859727453	0.965962893922762	0.965770272685881	0.970867966352501	0.900333114921707
PCa33173	0.987448727304291	0.969937227355794	0.959523218075738	0.979749734026307	0.972424899148379	0.999428910748216	0.971604187032986	0.979412495257367	0.922714675629595	0.941392194968236	0.962167261139261	0.980074361403152	0.986774532151619	0.986897834362868	0.989242889849097	0.989880254964174	0.931290341807819
PCa40507	0.980201423927036	0.930993270918734	0.968560001214531	0.965114474069623	0.948456573936171	0.971917957333264	0.999303338437391	0.97799357595647	0.928204730825477	0.952576460755068	0.959694566084921	0.952065235571473	0.970413282517516	0.969010822818084	0.977933226316468	0.959285608600594	0.873232029561897
PCa51852	0.984959290120418	0.945007103594827	0.960067608560374	0.972712276925859	0.951979040190751	0.979078424415772	0.978032578522297	0.99861906740546	0.924279367326602	0.938735136233419	0.961080839469354	0.962840190620225	0.973685047455277	0.979438408207831	0.978671798138441	0.96792865491772	0.896994368889028
PCa53687	0.930899669874322	0.915590591423555	0.936687231959132	0.933430591458823	0.892143339997506	0.922974128605288	0.928038563683418	0.924047360273202	0.999242139578405	0.916785348917661	0.963080151759625	0.942541798918191	0.895884949018167	0.898732141013181	0.933073861284818	0.901677484395997	0.90691857834553
PCa56413	0.94810976692047	0.909206335374721	0.957018213456259	0.945473637525481	0.93672328849499	0.941521884453811	0.952777625663939	0.938548875032333	0.9166516125252	0.999502868116697	0.947772328142351	0.93147401289129	0.939293532631478	0.92639386911985	0.95178052325018	0.92555787818718	0.840623974217534
PCa57294	0.965215138043045	0.948171942092734	0.964614274952537	0.964710270455249	0.936900963650899	0.962058593624147	0.959483469927771	0.961079735882034	0.963067821180985	0.947823480851386	0.999051325578941	0.974943493499002	0.949219160496944	0.948597280461789	0.970082734111346	0.950230557074316	0.922641602437423
PCa58215	0.970288567703403	0.971032169686042	0.955265695216118	0.96670650987921	0.953614779609842	0.979938542191954	0.952321869703304	0.962561449907094	0.942016537468158	0.931551192930818	0.975395274835089	0.999415451999735	0.968987522965601	0.967968750949765	0.981736176451096	0.979382447706623	0.958614194983752
Benign-Prostate-1648133	0.981093652628675	0.950551511142965	0.958976621171418	0.966003809366278	0.970192588872157	0.98657969336858	0.970235178762984	0.973233596235879	0.896099371386141	0.939144982184064	0.949189280482232	0.968829099715512	0.999815774958482	0.990979712065348	0.990710786293642	0.991390456086774	0.898605088832088
Benign-Prostate-1595983	0.981394786917324	0.956724978286389	0.948537313346413	0.969033168524079	0.965969227136631	0.98704522377092	0.968931064340099	0.979260635376478	0.898827247608248	0.92603611780029	0.948665958204436	0.96786784395532	0.99101830089706	0.999813374403245	0.98583198012782	0.988447110742633	0.911445295482039
Benign-Prostate-1664855	0.986351665491143	0.960197175789748	0.97230104036281	0.974219062593325	0.965923209414252	0.989309315537856	0.977731208490272	0.978630640394836	0.932938441157868	0.951949241090003	0.970207101684095	0.981786696695552	0.990717187286038	0.985821972460277	0.999975441208339	0.987711361241615	0.92006965400233
Benign-Prostate-3320942	0.978753251173917	0.967151288366709	0.947626275473252	0.967486413937565	0.970729590180057	0.990090420730313	0.959490676737875	0.96806816003005	0.901755813623826	0.925597070640872	0.950011639073731	0.979274908963776	0.991415653759213	0.988511106973227	0.987739091268134	0.999818231629575	0.935445758619978
Benign-Prostate-3330581	0.907741415431713	0.95816928410418	0.870222431534332	0.917459849258857	0.90037791843592	0.931123849534351	0.873475037137706	0.897466078494766	0.906528210695487	0.840840963340036	0.922430505063626	0.958598177288196	0.89882605532712	0.911230912366645	0.920149468929804	0.935518084012233	0.999915494415325
