chr	start	end	strand	ens_gene	gene_name	target_id	transcript_name	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
chr19	46838172	46846148	-	ENSG00000042753.11	AP2S1	ENST00000597020.5	AP2S1-204	3.55793872366064e-09	2.36638504510669e-05	-4.5052745767318	0.763148604466573	3.34013098138208	6.33247440890634	0.0666064454768171	1.48644900118792	0.296212072534866	1.48644900118792
chr19	1269331	1271995	+	ENSG00000099622.14	CIRBP	ENST00000589686.5	CIRBP-224	2.15477221999558e-06	0.00716569501759531	5.66771745353572	1.19614015830591	2.32088234401295	11.2558870099962	0.538229246079508	3.27710749608605	0.740874457014124	3.27710749608605
chr19	50333877	50344761	-	ENSG00000131401.11	NAPSB	ENST00000562112.5	NAPSB-206	2.55134518946181e-05	0.0565633228503684	-4.24053302624341	1.00720249124279	2.13387483693566	5.0446736996861	1.8487441694369	-1.09483519222515	0.856474119538257	0.856474119538257
chr19	12791486	12793315	+	ENSG00000171223.6	JUNB	ENST00000302754.6	JUNB-201	0.000456968241426301	0.759823943431583	-1.08196476547876	0.308710332005991	9.61561791263315	0.514828713844846	0.00011662774315625	0.254022223156175	0.139635292247001	0.254022223156175
chr19	37361968	37363929	+	ENSG00000181666.18	ZNF875	ENST00000588820.1	ZNF875-210	0.000704761626026967	0.935962234024754	0.838404001820629	0.247483261194598	6.28368313398366	0.31888507054157	0.0219434759425168	0.141384429581519	0.124986574158239	0.141384429581519
chr19	49861204	49867555	-	ENSG00000039650.12	PNKP	ENST00000600910.5	PNKP-215	0.000902638305614568	0.935962234024754	4.15956907047927	1.25317030500883	2.8166531338306	8.00154496621747	1.76375673745403	2.42407209816177	0.488725982457308	2.42407209816177
chr19	10996317	11062252	+	ENSG00000127616.18	SMARCA4	ENST00000646746.1	SMARCA4-250	0.00102718154833369	0.935962234024754	5.35177464206315	1.63016055355755	2.75222591293092	13.3856305753166	1.00568713627608e-13	7.08646248100008	0.519301879171801	7.08646248100008
chr19	49861204	49867204	-	ENSG00000039650.12	PNKP	ENST00000627232.2	PNKP-220	0.00115092391995129	0.935962234024754	3.65313492464774	1.12377481114235	1.66669299664316	6.29674982769972	0.126747030103981	3.24090583965076	1.18787927281197	3.24090583965076
chr19	52978900	53037883	-	ENSG00000242779.7	ZNF702P	ENST00000594516.1	ZNF702P-203	0.00126652535050711	0.935962234024754	2.63884726323907	0.818638444403242	1.19334948457573	3.14115918925965	0.205106985272742	1.39323082192504	1.58201008847382	1.58201008847382
chr19	52970445	53037898	-	ENSG00000242779.7	ZNF702P	ENST00000600425.5	ZNF702P-210	0.00172453368994811	0.99224412023994	2.86379806539101	0.913789892105592	2.2153990698405	4.01247491599534	1.07616563044905	1.15053294798922	0.804620180846636	1.15053294798922
