Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	HiCUP_mqc-generalstats-hicup-Percentage_Ditags_Passed_Through_HiCUP	HiCUP_mqc-generalstats-hicup-Deduplication_Read_Pairs_Uniques	HiCUP_mqc-generalstats-hicup-Percentage_Uniques	HiCUP_mqc-generalstats-hicup-Valid_Pairs	HiCUP_mqc-generalstats-hicup-Percentage_Valid	HiCUP_mqc-generalstats-hicup-Paired_Read_1	HiCUP_mqc-generalstats-hicup-Percentage_Mapped
PCa13266_R1	22.59254664478553	42.0	151.0	0.0	285283451.0							
PCa13266_R2	22.009120019284808	42.0	151.0	0.0	285283451.0							
PCa13848_R1	23.081475515682655	42.0	151.0	9.090909090909092	172237900.0							
PCa13848_R2	22.90072213000937	42.0	151.0	9.090909090909092	172237900.0							
PCa14121_R1	21.744667101121237	42.0	151.0	0.0	294685955.0							
PCa14121_R2	21.836286410910517	42.0	151.0	0.0	294685955.0							
PCa19121_R1	20.284043064449463	42.0	151.0	0.0	251476631.0							
PCa19121_R2	20.22060908962399	42.0	151.0	0.0	251476631.0							
PCa3023_R1	18.332537581903154	42.0	151.0	0.0	187529122.0							
PCa3023_R2	18.147577742223746	42.0	151.0	0.0	187529122.0							
PCa33173_R1	19.154818185690488	42.0	151.0	0.0	206228737.0							
PCa33173_R2	19.19430535740105	42.0	151.0	0.0	206228737.0							
PCa40507_R1	22.50851855640505	42.0	151.0	0.0	255498351.0							
PCa40507_R2	22.075675123728928	42.0	151.0	0.0	255498351.0							
PCa51852_R1	20.385758210694803	42.0	151.0	0.0	283109981.0							
PCa51852_R2	20.37910514431948	42.0	151.0	0.0	283109981.0							
PCa53687_R1	19.843516674864475	41.0	151.0	0.0	256683937.0							
PCa53687_R2	19.9319755631967	41.0	151.0	0.0	256683937.0							
PCa56413_R1	19.823013637132377	42.0	151.0	0.0	182873200.0							
PCa56413_R2	19.89717272201311	42.0	151.0	0.0	182873200.0							
PCa57054_R1	28.013206757100264	42.0	151.0	0.0	299297771.0							
PCa57054_R2	27.76699631971958	42.0	151.0	0.0	299297771.0							
PCa57294_R1	20.727818245360695	42.0	151.0	0.0	238309004.0							
PCa57294_R2	20.363818916965144	42.0	151.0	0.0	238309004.0							
PCa58215_R1	19.207156516972347	42.0	151.0	0.0	202949172.0							
PCa58215_R2	19.0847290567787	42.0	151.0	0.0	202949172.0							
a13266						54.47	155394460.0	87.75	177079291.0	97.17	182237689.0	63.88
a13848						57.56	99141314.0	90.16	109965387.0	95.98	114571589.0	66.52
a14121						55.32	163022504.0	86.14	189256100.0	98.58	191991433.0	65.15
a19121						57.12	143635667.0	88.33	162619541.0	98.66	164820409.0	65.54
a3023						58.19	109118336.0	89.08	122491697.0	98.26	124664377.0	66.48
a33173						58.8	121255508.0	88.78	136581460.0	98.78	138272206.0	67.05
a40507						44.09	112642199.0	86.61	130050287.0	82.79	157093854.0	61.49
a51852						53.57	151667759.0	88.16	172040108.0	94.21	182613984.0	64.5
a53687						47.71	122463185.0	88.09	139013322.0	83.0	167491045.0	65.25
a56413						57.76	105626491.0	87.52	120683321.0	98.74	122226230.0	66.84
a57294						56.6	134879669.0	86.33	156229865.0	98.58	158473772.0	66.5
a58215						57.43	116543572.0	88.2	132137050.0	98.27	134464175.0	66.26
