w	s1	s2	BPscore
3	PCa13266	PCa13848	0.3175447278225959
3	PCa13848	PCa13266	0.3175447278225959
3	PCa13266	PCa14121	0.340469322523997
3	PCa14121	PCa13266	0.340469322523997
3	PCa13266	PCa19121	0.32352418027525104
3	PCa19121	PCa13266	0.32352418027525104
3	PCa13266	PCa3023	0.320089052496361
3	PCa3023	PCa13266	0.320089052496361
3	PCa13266	PCa33173	0.3028434020790459
3	PCa33173	PCa13266	0.3028434020790459
3	PCa13266	PCa40507	0.3376418055285108
3	PCa40507	PCa13266	0.3376418055285108
3	PCa13266	PCa51852	0.3399244326773099
3	PCa51852	PCa13266	0.3399244326773099
3	PCa13266	PCa53687	0.337775816019382
3	PCa53687	PCa13266	0.337775816019382
3	PCa13266	PCa56413	0.32398050856194777
3	PCa56413	PCa13266	0.32398050856194777
3	PCa13266	PCa57294	0.33369864163227103
3	PCa57294	PCa13266	0.33369864163227103
3	PCa13266	PCa58215	0.3089736286891871
3	PCa58215	PCa13266	0.3089736286891871
3	PCa13266	Benign-Prostate-1648133	0.3187937791787215
3	Benign-Prostate-1648133	PCa13266	0.3187937791787215
3	PCa13266	Benign-Prostate-1595983	0.31312770908756327
3	Benign-Prostate-1595983	PCa13266	0.31312770908756327
3	PCa13266	Benign-Prostate-1664855	0.30459576795496385
3	Benign-Prostate-1664855	PCa13266	0.30459576795496385
3	PCa13266	Benign-Prostate-3320942	0.3070895239428131
3	Benign-Prostate-3320942	PCa13266	0.3070895239428131
3	PCa13266	Benign-Prostate-3330581	0.3115119635969416
3	Benign-Prostate-3330581	PCa13266	0.3115119635969416
3	PCa13848	PCa14121	0.33982480355735795
3	PCa14121	PCa13848	0.33982480355735795
3	PCa13848	PCa19121	0.2889084367288233
3	PCa19121	PCa13848	0.2889084367288233
3	PCa13848	PCa3023	0.27475264093662816
3	PCa3023	PCa13848	0.27475264093662816
3	PCa13848	PCa33173	0.2840975476478192
3	PCa33173	PCa13848	0.2840975476478192
3	PCa13848	PCa40507	0.32358749151444366
3	PCa40507	PCa13848	0.32358749151444366
3	PCa13848	PCa51852	0.34039814604886937
3	PCa51852	PCa13848	0.34039814604886937
3	PCa13848	PCa53687	0.32703195441378863
