SampleID	Source	Peak	Background	Fold
4DNFI6HDY7WZ	Cell Line	0.0256902002107482	0.0108852809051079	2.3600861047778
4DNFIIV4M7TF	Cell Line	0.0227347860172093	0.0111080206821778	2.04670000783182
4DNFINSKEZND	Cell Line	0.0240811090089505	0.0109918534198848	2.19081424115306
4DNFIT64Q7A3	Cell Line	0.0239962944700943	0.0109240521028541	2.19664774976904
4DNFITH978XV	Cell Line	0.0242732721333212	0.0109259271244671	2.22162127358187
4DNFIXVAKX9Q	Cell Line	0.022545542284956	0.0111086982748221	2.02953953084275
PCa13266	Primary	0.0221468219591234	0.0112131505489105	1.97507577041095
PCa13848	Primary	0.0228114612570264	0.0112049628669716	2.03583550680625
PCa14121	Primary	0.022652296457626	0.0111289188797373	2.03544447600113
PCa19121	Primary	0.0225370301832413	0.0111620011198473	2.01908510322293
PCa3023	Primary	0.0229925968109339	0.0111195616699303	2.06776107668981
PCa33173	Primary	0.0229002781088598	0.0111404554293959	2.05559622351109
PCa40507	Primary	0.0229686459753353	0.0111370526782988	2.06236305410417
PCa51852	Primary	0.0223277681057099	0.0111153243136081	2.0087374399301
PCa53687	Primary	0.0215384861475462	0.0111440944802341	1.93272644859107
PCa56413	Primary	0.0240380437787836	0.0110924988847216	2.16705397301349
PCa57294	Primary	0.0224816812947902	0.011140612219816	2.01799334284355
PCa58215	Primary	0.0232138637258763	0.0110988578180386	2.0915542938254
SRR7702334	Cell Line	0.0258783742110565	0.0109513416773158	2.36303230906037
SRR7702335	Cell Line	0.0256750843050943	0.0109418460817268	2.34650388182414
SRR8446383	Cell Line	0.0255325935414834	0.0110633025389087	2.30786362857632
SRR8446384	Cell Line	0.0255544993662864	0.0110621928712783	2.31007537688442
SRR8446385	Cell Line	0.0256586196534108	0.0109853856819751	2.33570494438912
SRR8446386	Cell Line	0.0255372894746112	0.0109956669370693	2.32248663230406
SRR8446387	Cell Line	0.0257875963877778	0.0110318293982451	2.33756301487766
