SampleID	Source	Peak	Background	Fold
4DNFI6HDY7WZ	Cell Line	0.0256449404807345	0.0108301464992772	2.36792184505039
4DNFIIV4M7TF	Cell Line	0.022483527347098	0.011065741917976	2.03181381906026
4DNFINSKEZND	Cell Line	0.0237986314101484	0.0109691470404035	2.16959726426212
4DNFIT64Q7A3	Cell Line	0.0237587528455753	0.0108758735151569	2.18453743623116
4DNFITH978XV	Cell Line	0.0239596858962468	0.010912572502796	2.19560382211508
4DNFIXVAKX9Q	Cell Line	0.0222951063030297	0.01107125356197	2.01378336953765
PCa13266	Primary	0.022222736280429	0.011194970238059	1.98506434656516
PCa13848	Primary	0.0229781630637551	0.0111618066344397	2.05864192207524
PCa14121	Primary	0.0224757285302727	0.0111090017955379	2.02319964871194
PCa19121	Primary	0.0221047609671874	0.0111368760629205	1.98482598192717
PCa3023	Primary	0.0230522344924097	0.0111094165549861	2.07501756535212
PCa33173	Primary	0.0228490616519512	0.0111153356387184	2.05563398125022
PCa40507	Primary	0.0225670495164204	0.0111625847232078	2.02166882276844
PCa51852	Primary	0.0216484592433833	0.0111082662364459	1.94886031560491
PCa53687	Primary	0.0215227831610431	0.0111314107752673	1.93351800554016
PCa56413	Primary	0.0237636236679924	0.0111190382221683	2.13720136518772
PCa57294	Primary	0.0219870463912734	0.0111201315911801	1.97722897530389
PCa58215	Primary	0.0227910717266285	0.0110665036413165	2.05946453056217
SRR7702334	Cell Line	0.0258542096083717	0.0109342272162092	2.36452097593551
SRR7702335	Cell Line	0.0256187689102723	0.0109090244583732	2.34840145496315
SRR8446383	Cell Line	0.0250475098865221	0.0110806347952825	2.26047607824653
SRR8446384	Cell Line	0.0251415166505176	0.0110459482890509	2.27608494921514
SRR8446385	Cell Line	0.0255310506897736	0.010959239138042	2.32963715529754
SRR8446386	Cell Line	0.0255547560240378	0.0109598796676633	2.33166392323048
SRR8446387	Cell Line	0.0255350920856147	0.0110189672788242	2.31737616053066
