PCa13266	PCa13848	PCa14121	PCa19121	PCa3023	PCa33173	PCa40507	PCa51852	PCa53687	PCa56413	PCa57294	PCa58215
1	0.851389994449352	0.893972615101068	0.815754823663106	0.822418438425956	0.799266235019994	0.827693382005713	0.450387552584135	0.848906910136637	0.826170787537709	0.811303610989309	0.822664786255378
0.851389994449352	1	0.885784855751568	0.911406653338428	0.91688216384694	0.860545594733324	0.915585772636094	0.368015472918814	0.901775830956294	0.916553580830799	0.850298943529444	0.873754483743685
0.893972615101068	0.885784855751568	1	0.881782380551429	0.890874330155958	0.870065589206621	0.897459601746646	0.373816470360293	0.907054665949629	0.890754509797256	0.868045027471222	0.867582556573874
0.815754823663106	0.911406653338428	0.881782380551429	1	0.931656868769665	0.905783238410613	0.918388457230108	0.348418519732571	0.912055096399583	0.93304775225715	0.889814276306601	0.883207829326791
0.822418438425956	0.91688216384694	0.890874330155958	0.931656868769665	1	0.88284592232882	0.937200821618652	0.326865932507726	0.905683239221056	0.949569979935828	0.863756855617916	0.890809560561064
0.799266235019994	0.860545594733324	0.870065589206621	0.905783238410613	0.88284592232882	1	0.871151531690938	0.352094627852705	0.910412557224665	0.887225760343618	0.934757772729784	0.899994303896855
0.827693382005713	0.915585772636094	0.897459601746646	0.918388457230108	0.937200821618652	0.871151531690938	1	0.300689822862036	0.908800699064453	0.950950246165854	0.847151014543024	0.863075447700524
0.450387552584135	0.368015472918814	0.373816470360293	0.348418519732571	0.326865932507726	0.352094627852705	0.300689822862036	1	0.379042248668389	0.307057776137523	0.412850698670803	0.40339153904357
0.848906910136637	0.901775830956294	0.907054665949629	0.912055096399583	0.905683239221056	0.910412557224665	0.908800699064453	0.379042248668389	1	0.910655426695703	0.900194319932378	0.908355314263325
0.826170787537709	0.916553580830799	0.890754509797256	0.93304775225715	0.949569979935828	0.887225760343618	0.950950246165854	0.307057776137523	0.910655426695703	1	0.863323076169504	0.877931604804473
0.811303610989309	0.850298943529444	0.868045027471222	0.889814276306601	0.863756855617916	0.934757772729784	0.847151014543024	0.412850698670803	0.900194319932378	0.863323076169504	1	0.898101954388183
0.822664786255378	0.873754483743685	0.867582556573874	0.883207829326791	0.890809560561064	0.899994303896855	0.863075447700524	0.40339153904357	0.908355314263325	0.877931604804473	0.898101954388183	1
