ens_gene	gene_name	log2exprs_fc	exprs_pval	exprs_qval	test_ID	log2acetyl_fc	acetyl_pval	acetyl_qval	sig
ENSG00000002330.13	BAD	0.359722310287707	0.594578594307508	0.986236012727249	120	0.126318051575931	0.999999999999773	0.999999999999773	FALSE
ENSG00000002549.12	LAP3	0.941324429951269	0.633522103137032	0.981812681719517	85	-0.295213460572577	1.52189389026471e-06	1.52189389026471e-06	FALSE
ENSG00000004139.14	SARM1	0.136413814315938	0.843269111312317	0.997162061632147	279	0.255167037861915	0.999993362391383	0.999993362391383	FALSE
ENSG00000004142.12	POLDIP2	0.394185548590901	0.51329690709242	0.997162061632147	279	0.531777251184834	1.2746207930585e-10	1.2746207930585e-10	FALSE
ENSG00000004809.14	SLC22A16	-0.07975515971621	0.886759077025863	0.981738732484858	9	-0.59	0.319	0.319	FALSE
ENSG00000004897.12	CDC27	0.493945982877022	0.98175867109403	0.997463177146393	153	0.41	0.000153038438495279	0.000153038438495279	FALSE
ENSG00000005100.13	DHX33	0.377477134106794	0.942302371946095	0.999202909233807	152	0.34	0.298985984906001	0.298985984906001	FALSE
ENSG00000005175.10	RPAP3	0.0804490807237157	0.955432118619239	0.999619514255398	262	0.43	2.1538943822812e-05	2.1538943822812e-05	FALSE
ENSG00000005249.13	PRKAR2B	-0.155164184511626	0.825584179593106	0.968385650247631	312	0.5	0.312	0.312	FALSE
ENSG00000005882.12	PDK2	0.602698392587545	0.972056921202923	0.997231194553082	157	0.235369383092155	0.999999970063783	0.999999970063783	FALSE
ENSG00000005884.18	ITGA3	0.857546432111279	0.735202454058953	0.997231194553082	157	0.478718135469774	0.43011686837113	0.43011686837113	FALSE
ENSG00000006282.21	SPATA20	-1.10016317725574	0.445604216132607	0.997231194553082	157	-0.670035242290749	2.83687787011784e-09	2.83687787011784e-09	FALSE
ENSG00000006283.18	CACNA1G	-0.724862391921838	0.424828202848372	0.997231194553082	157	0.0715028462998103	2.47586573654164e-21	2.47586573654164e-21	FALSE
ENSG00000006468.14	ETV1	-0.602387902006269	0.268339410563672	0.999559656713946	117	-0.0250140318054256	0.592033796533424	0.592033796533424	FALSE
ENSG00000006747.15	SCIN	1.30455831523061	0.632435105452454	0.999559656713946	117	0.57829525820695	0.814037225955407	0.814037225955407	FALSE
ENSG00000007171.18	NOS2	-3.03710059599533	0.255767860053113	0.997162061632147	279	0.374448705656759	0.999999970313524	0.999999970313524	FALSE
ENSG00000007174.18	DNAH9	-0.35270787167972	0.958037012920659	0.958037012920659	156	-1.83369845079642	5.61500630805714e-52	5.61500630805714e-52	FALSE
ENSG00000007237.18	AC005747.1	0.580809368791603	0.782484818982548	0.973756734288009	154	0.787347151459009	1.88024472478216e-51	1.88024472478216e-51	FALSE
ENSG00000008988.9	RPS20	-0.113771656627701	0.851735404472515	0.851735404472515	198	-0.41	0.0021968054765593	0.0021968054765593	FALSE
ENSG00000010017.13	RANBP9	0.688786426538764	0.173500004711296	0.694000018845184	245	0.308788981288981	0.0720304531743297	0.0720304531743297	FALSE
ENSG00000011295.16	TTC19	0.181077905955297	0.773785407341362	0.892052386414865	108	0.64	7.00760199619611e-07	7.00760199619611e-07	FALSE
ENSG00000013503.10	POLR3B	0.35538138627125	0.599058719864003	0.943094131672667	313	0.07	0.849	0.849	FALSE
ENSG00000015532.10	XYLT2	0.176928172433682	0.953162689494058	0.997231194553082	157	-0.00986265187533017	1	1	FALSE
ENSG00000017260.19	ATP2C1	0.40547437301638	0.473022689393918	0.977799221291024	209	-0.604645058205889	7.24520873987482e-29	7.24520873987482e-29	FALSE
ENSG00000018408.14	WWTR1	-0.200871389782653	0.923605214220155	0.963262233507647	127	-0.76	0.632305136913497	0.632305136913497	FALSE
ENSG00000019144.19	PHLDB1	0.402866367071116	0.814476105673347	0.99697555466577	26	-0.279136742836416	2.49760389786557e-06	2.49760389786557e-06	FALSE
ENSG00000019549.13	SNAI2	-0.349094276815655	0.531142553932364	0.750701591262479	113	-0.577259675405743	1.48696676187623e-06	1.48696676187623e-06	FALSE
