chr	start	end	persistence_left	persistence_right	type	w
chr1	0	880000	18	18	gap	20
chr1	880000	1040000	18	18	domain	20
chr1	1040000	1080000	18	18	gap	20
chr1	1080000	1480000	18	18	domain	20
chr1	1480000	1760000	18	18	gap	20
chr1	1760000	2640000	18	18	domain	20
chr1	2640000	2760000	18	18	gap	20
chr1	2760000	3880000	18	18	domain	20
chr1	3880000	6000000	18	18	domain	20
chr1	6000000	6480000	18	14	boundary,domain	20
chr1	6480000	6680000	14	18	boundary,domain	20
chr1	6680000	7960000	18	18		20
chr1	7960000	8360000	18	18	boundary,domain	20
chr1	8360000	8880000	18	18		20
chr1	8880000	9600000	18	18	boundary,domain	20
chr1	9600000	9880000	18	11	boundary,domain	20
chr1	9880000	10440000	11	18	boundary,domain	20
chr1	10440000	11000000	18	18	domain	20
chr1	11000000	11240000	18	14	boundary,domain	20
chr1	11240000	11800000	14	18		20
chr1	11800000	12040000	18	17		20
chr1	12040000	12840000	17	18	domain	20
chr1	12840000	13360000	18	18	gap	20
chr1	13360000	15120000	18	18	domain	20
chr1	15120000	15320000	18	14	boundary,domain	20
chr1	15320000	15520000	14	18	boundary,domain	20
chr1	15520000	16480000	18	18		20
chr1	16480000	16880000	18	18	gap	20
chr1	16880000	18600000	18	18	domain	20
chr1	18600000	18880000	18	18	boundary,domain	20
chr1	18880000	19120000	18	14	boundary,domain	20
chr1	19120000	19880000	14	18	boundary,domain	20
chr1	19880000	20520000	18	16	domain	20
chr1	20520000	20640000	16	18		20
chr1	20640000	21960000	18	18	domain	20
chr1	21960000	22000000	18	18	gap	20
chr1	22000000	22960000	18	18	domain	20
chr1	22960000	23480000	18	14	boundary,domain	20
chr1	23480000	23760000	14	17	boundary,domain	20
chr1	23760000	24040000	17	13	boundary,domain	20
chr1	24040000	25280000	13	18	domain	20
chr1	25280000	25400000	18	18	gap	20
chr1	25400000	26480000	18	18		20
chr1	26480000	26920000	18	18	boundary,domain	20
chr1	26920000	27400000	18	8	boundary,domain	20
chr1	27400000	27760000	8	11	boundary,domain	20
chr1	27760000	28040000	11	6		20
chr1	28040000	28240000	6	18		20
chr1	28240000	28760000	18	5	boundary,domain	20
chr1	28760000	28880000	5	3	boundary,domain	20
chr1	28880000	29240000	3	18		20
chr1	29240000	30720000	18	18	domain	20
chr1	30720000	30920000	18	16	boundary,domain	20
chr1	30920000	31160000	16	17	boundary,domain	20
chr1	31160000	31400000	17	14		20
chr1	31400000	31640000	14	11		20
chr1	31640000	32040000	11	14		20
chr1	32040000	32200000	14	9		20
chr1	32200000	32400000	9	18	boundary,domain	20
chr1	32400000	32880000	18	18	boundary,domain	20
chr1	32880000	33120000	18	18	boundary,domain	20
chr1	33120000	33480000	18	10	boundary,domain	20
chr1	33480000	33640000	10	18	boundary,domain	20
chr1	33640000	34760000	18	18	domain	20
chr1	34760000	36080000	18	18		20
chr1	36080000	36480000	18	18	boundary,domain	20
chr1	36480000	37440000	18	18	domain	20
chr1	37440000	37800000	18	7	domain	20
chr1	37800000	38840000	7	18		20
chr1	38840000	39600000	18	18		20
chr1	39600000	39800000	18	18		20
chr1	39800000	40040000	18	18	boundary,domain	20
chr1	40040000	40560000	18	17	boundary,domain	20
chr1	40560000	41000000	17	18	boundary,domain	20
chr1	41000000	41240000	18	18	boundary,domain	20
chr1	41240000	41520000	18	18	boundary,domain	20
chr1	41520000	42800000	18	18	domain	20
chr1	42800000	43160000	18	18	boundary,domain	20
chr1	43160000	43480000	18	18	boundary,domain	20
chr1	43480000	43720000	18	15	boundary,domain	20
chr1	43720000	44080000	15	18	boundary,domain	20
chr1	44080000	44680000	18	18	domain	20
chr1	44680000	45320000	18	18	domain	20
chr1	45320000	45520000	18	16	boundary,domain	20
chr1	45520000	45600000	16	5	boundary,domain	20
chr1	45600000	46040000	5	8	domain	20
chr1	46040000	46880000	8	18	domain	20
chr1	46880000	46920000	18	18	gap	20
chr1	46920000	47080000	18	18	domain	20
chr1	47080000	47120000	18	18	gap	20
chr1	47120000	48080000	18	18	domain	20
chr1	48080000	48240000	18	11	boundary,domain	20
chr1	48240000	48520000	11	18	boundary,domain	20
chr1	48520000	48880000	18	18	domain	20
chr1	48880000	50360000	18	18	domain	20
chr1	50360000	51240000	18	18	domain	20
chr1	51240000	51560000	18	8		20
chr1	51560000	51880000	8	18	boundary,domain	20
chr1	51880000	52040000	18	18	boundary,domain	20
chr1	52040000	52320000	18	1	domain	20
chr1	52320000	53240000	1	18	domain	20
chr1	53240000	53400000	18	15		20
chr1	53400000	53840000	15	18	domain	20
chr1	53840000	55040000	18	18	boundary,domain	20
chr1	55040000	55320000	18	18		20
chr1	55320000	56840000	18	18		20
chr1	56840000	58480000	18	18	domain	20
chr1	58480000	58680000	18	18	boundary,domain	20
chr1	58680000	59840000	18	18	domain	20
chr1	59840000	59960000	18	13		20
chr1	59960000	61920000	13	13	domain	20
chr1	61920000	62120000	13	18	boundary	20
chr1	62120000	62440000	18	18		20
chr1	62440000	62800000	18	18	domain	20
chr1	62800000	63560000	18	18	domain	20
chr1	63560000	64840000	18	16		20
chr1	64840000	65080000	16	17	boundary,domain	20
chr1	65080000	65720000	17	15		20
chr1	65720000	66760000	15	18	domain	20
chr1	66760000	67240000	18	16	domain	20
chr1	67240000	67520000	16	18		20
chr1	67520000	68400000	18	18	domain	20
chr1	68400000	70080000	18	18		20
chr1	70080000	71080000	18	18	domain	20
chr1	71080000	72280000	18	18	domain	20
chr1	72280000	72360000	18	18	gap	20
chr1	72360000	72880000	18	18	domain	20
chr1	72880000	72920000	18	18	gap	20
chr1	72920000	74760000	18	18	domain	20
chr1	74760000	75080000	18	6		20
chr1	75080000	75960000	6	18		20
chr1	75960000	77120000	18	18	domain	20
chr1	77120000	78120000	18	18	domain	20
chr1	78120000	78760000	18	18	domain	20
chr1	78760000	83120000	18	18	domain	20
chr1	83120000	83480000	18	18	gap	20
chr1	83480000	85520000	18	18	domain	20
chr1	85520000	85560000	18	18	gap	20
chr1	85560000	87120000	18	18	domain	20
chr1	87120000	89400000	18	18	domain	20
chr1	89400000	89440000	18	18	gap	20
chr1	89440000	91280000	18	16		20
chr1	91280000	92840000	16	17	boundary,domain	20
chr1	92840000	93040000	17	18		20
chr1	93040000	93880000	18	18	domain	20
chr1	93880000	94440000	18	18	domain	20
chr1	94440000	95080000	18	18		20
chr1	95080000	95240000	18	18		20
chr1	95240000	96960000	18	18	domain	20
chr1	96960000	98520000	18	17	domain	20
chr1	98520000	99760000	17	18	domain	20
chr1	99760000	100920000	18	18	domain	20
chr1	100920000	101360000	18	18	domain	20
chr1	101360000	103040000	18	18	domain	20
chr1	103040000	103080000	18	18	gap	20
chr1	103080000	103600000	18	18	domain	20
chr1	103600000	103880000	18	18	gap	20
chr1	103880000	104640000	18	18	domain	20
chr1	104640000	104680000	18	18	gap	20
chr1	104680000	104840000	18	18	domain	20
chr1	104840000	104880000	18	18	gap	20
chr1	104880000	105880000	18	17		20
chr1	105880000	108200000	17	18	domain	20
chr1	108200000	108480000	18	18	gap	20
chr1	108480000	109680000	18	18	domain	20
chr1	109680000	109720000	18	18	gap	20
chr1	109720000	111120000	18	12		20
chr1	111120000	111440000	12	18	boundary,domain	20
chr1	111440000	112360000	18	18	domain	20
chr1	112360000	112720000	18	18	boundary,domain	20
chr1	112720000	113080000	18	18	boundary,domain	20
chr1	113080000	113800000	18	17	domain	20
chr1	113800000	114800000	17	18	domain	20
chr1	114800000	116120000	18	18		20
