chr	pos	w	left_type	right_type	Persistence
chr1	40000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32		gap	30
chr1	880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	1040000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	1080000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	1480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	1760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	1920000	3	domain	domain	1
chr1	2080000	6,7	domain	boundary,domain	2
chr1	2160000	3,4,5,7,9	boundary,domain	domain	5
chr1	2400000	3,4,5	domain	domain	3
chr1	2640000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	2760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	3280000	3	domain	domain	1
chr1	3440000	3,4,5,6,7,8,9,10,11,12,13,14,15,16	domain	boundary,domain	14
chr1	3680000	3,4	domain	domain	2
chr1	3920000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27	boundary,domain	domain	25
chr1	4240000	3,4	domain	domain	2
chr1	4520000	3,6	domain	boundary,domain	2
chr1	4600000	4,5,6,7,8	boundary,domain	domain	5
chr1	5280000	3,4,5,6	domain	domain	4
chr1	5480000	3,4	domain	domain	2
chr1	5760000	3	domain	domain	1
chr1	5960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	30
chr1	6200000	11	domain	domain	1
chr1	6360000	7,20,22	boundary,domain	boundary	3
chr1	6480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary	boundary	30
chr1	6680000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	boundary,domain	domain	29
chr1	7640000	3,4,5,6,7,8	domain	boundary,domain	6
chr1	7800000	3,7,9,10,11,18	boundary,domain	boundary,domain	6
chr1	7960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	8320000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	8560000	3,4,15,25,27	boundary,domain	boundary,domain	5
chr1	8760000	4	domain	domain	1
chr1	8880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	9120000	4,7,8,11,12,13,14,15,18,19,23,24,26,32	boundary,domain	boundary,domain	14
chr1	9240000	3,5,6,7,10,11,12,13,15,16,17,18,19,20,21,25,29,30	boundary,domain	boundary,domain	18
chr1	9480000	3	domain	domain	1
chr1	9600000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	9920000	4,5,15,17,18,19,20,21,22,23,25,27	boundary	domain	12
chr1	10160000	3,4,14,17,18,22,23,31	boundary,domain	boundary,domain	8
chr1	10360000	4,5,6,14,15,16,17,21	boundary,domain	boundary,domain	8
chr1	10480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	10800000	3	domain	domain	1
chr1	11040000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	domain	30
chr1	11240000	3,4,5,6,7,8,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	23
chr1	11640000	3,4,5,6,7,8	domain	boundary,domain	6
chr1	11800000	3,4,5,6,7,8,9,10,11,12,15,18	boundary,domain	boundary,domain	12
chr1	12040000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	boundary	boundary,domain	18
chr1	12240000	3,4,5,6,7,8,9,10,13	boundary,domain	domain	9
chr1	12840000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	13360000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	13640000	3,4,5,6	domain	domain	4
chr1	14000000	3,4,5,6,7,8,9,10,11,12,13,14	domain	domain	12
chr1	14360000	3,4	domain	domain	2
chr1	15120000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	30
chr1	15320000	3,4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26	boundary,domain	boundary,domain	19
chr1	15520000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	boundary,domain	boundary,domain	21
chr1	15760000	3,4,5,6,7,9,10,13,14	boundary,domain	domain	9
chr1	16000000	3,4,5,7,8,9,10	domain	boundary,domain	7
chr1	16080000	3,4,5,6,7,8	boundary,domain	domain	6
chr1	16240000	3	domain	domain	1
chr1	16480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	16880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	17400000	3,4,5,6,7,8,9,10,11,12	domain	domain	10
chr1	17680000	3,4,5,6,7,8,9	domain	domain	7
chr1	18600000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,18	domain	boundary,domain	15
chr1	18880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	19120000	3,4,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	26
chr1	19280000	3,4,5,6,7,8,9,15,17,21,22	boundary,domain	boundary,domain	11
chr1	19720000	3,4,5,7,9,13,18,19,21,30,31	boundary,domain	boundary,domain	11
chr1	19880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	20200000	3,4,5,6,20,21,22,23,24,25	boundary,domain	domain	10
chr1	20520000	3,4,5,6,9,10,11,13,17	domain	boundary,domain	9
chr1	20680000	3,4,5,6,7,8,9,10,11,12,13,14,15,17	boundary,domain	domain	14
chr1	21200000	3,4	domain	domain	2
chr1	21400000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	21440000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	21680000	3,4,5	domain	domain	3
chr1	21960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	22000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	22400000	3,4	domain	domain	2
chr1	22640000	3,4,5,6,7,8	domain	domain	6
chr1	22960000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	domain	boundary,domain	20
chr1	23080000	23,24	domain	boundary	2
chr1	23280000	6,7,8,12,13,14,15,16,17,18,19,20,21,22,23,24,25,29,31	boundary,domain	boundary,domain	19
chr1	23400000	16,23,28	boundary,domain	boundary	3
chr1	23520000	3,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,23,24,25,26,27,29,30	boundary,domain	boundary	24
chr1	23680000	3,6,8,10	boundary,domain	boundary,domain	4
chr1	23760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	24080000	3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28	boundary,domain	domain	25
chr1	24400000	3,4,5,17,18,19	domain	domain	6
chr1	24480000	15,16	domain	domain	2
chr1	24640000	3,4,5,6,7,8,9,10,11,12,13,14	domain	domain	12
chr1	24880000	3,4,5	domain	domain	3
chr1	25280000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	25440000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	25880000	3,4,5,6,7,8,9	domain	boundary	7
chr1	26000000	3,4,6,7,8,9,10,11,12,13	boundary,domain	boundary,domain	10
chr1	26200000	10,11,12,13,14,16,18	boundary,domain	boundary,domain	7
chr1	26480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	boundary,domain	boundary,domain	23
chr1	26800000	3	domain	domain	1
chr1	26920000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	27280000	5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	27
chr1	27400000	5,19,21,22,24,25,26,27,28,30,32	boundary,domain	boundary,domain	11
chr1	27680000	3,4,5,6,7,8,9,11	domain	boundary,domain	8
chr1	27800000	4,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary	26
chr1	28080000	3,4,5,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	27
chr1	28240000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	28680000	4,9,10,11,12,13,14,18,23,26,27,28,29,30,31,32	boundary,domain	boundary,domain	16
chr1	28760000	7,16,21,27,32	boundary,domain	boundary,domain	5
chr1	28880000	3,4,18,19,20,21,22,23,24,25,26,27,28,30,31,32	boundary,domain	boundary,domain	16
chr1	29040000	3	domain	domain	1
chr1	29240000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	30
chr1	30080000	3,4,6	domain	domain	3
chr1	30360000	3,4,5,6	domain	domain	4
chr1	30720000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	30
chr1	30920000	3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	29
chr1	31120000	3,4,5,6,8,10,14,17,18,27,28,30,31	boundary,domain	boundary,domain	13
chr1	31400000	4,5,6,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	26
chr1	31600000	4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	domain	28
chr1	31800000	3	domain	domain	1
chr1	32080000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	32400000	3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,28,30	boundary,domain	boundary,domain	25
chr1	32880000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	33160000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary	boundary	30
chr1	33480000	3,4,11,12,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	22
chr1	33600000	3,4,5,6,7,8,9,10,11,12,13,16,17	boundary	domain	13
chr1	34080000	4	domain	domain	1
chr1	34760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	boundary,domain	30
chr1	34840000	28,29	boundary	domain	2
chr1	34920000	30,31,32	boundary	domain	3
chr1	35840000	4,5,6,7,8,9,10,11,12,13,14,15,16	domain	boundary,domain	13
chr1	36080000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	boundary,domain	30
chr1	36480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	boundary,domain	domain	30
chr1	37240000	3	domain	domain	1
chr1	37440000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	domain	domain	21
chr1	37800000	3,4,5,13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31	domain	boundary,domain	20
chr1	37880000	6,7,9,12,16,17,19	boundary,domain	boundary,domain	7
chr1	38000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,24	boundary,domain	domain	19
chr1	38840000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	domain	boundary,domain	20
chr1	39040000	3,4,5,6,7,9	boundary,domain	domain	6
chr1	39600000	3	domain	domain	1
chr1	39760000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	domain	gap	30
chr1	39800000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	gap	domain	30
chr1	40040000	3,4,5	domain	domain	3
chr1	40480000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,18	domain	boundary,domain	15
chr1	40800000	10,11,13,14,15,16	boundary,domain	boundary,domain	6
chr1	40880000	24	domain	boundary	1
chr1	41000000	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	boundary,domain	boundary,domain	27
