chr	start	end	persistence_left	persistence_right	type	w
chr1	40000	880000	18	18	gap	20
chr1	880000	1640000	18	18	domain	20
chr1	1640000	1760000	18	18	gap	20
chr1	1760000	2640000	18	18	domain	20
chr1	2640000	2760000	18	18	gap	20
chr1	2760000	3920000	18	18		20
chr1	3920000	6000000	18	18		20
chr1	6000000	6360000	18	1		20
chr1	6360000	6480000	1	15		20
chr1	6480000	7960000	15	18	boundary,domain	20
chr1	7960000	8360000	18	18	boundary,domain	20
chr1	8360000	8880000	18	18	boundary,domain	20
chr1	8880000	9240000	18	17	boundary,domain	20
chr1	9240000	9600000	17	18	boundary,domain	20
chr1	9600000	10480000	18	18		20
chr1	10480000	11000000	18	18	domain	20
chr1	11000000	11240000	18	12	boundary,domain	20
chr1	11240000	11800000	12	17		20
chr1	11800000	12800000	17	18		20
chr1	12800000	13360000	18	18	gap	20
chr1	13360000	15120000	18	18	domain	20
chr1	15120000	15320000	18	13	boundary,domain	20
chr1	15320000	15520000	13	18	boundary,domain	20
chr1	15520000	16480000	18	18		20
chr1	16480000	16880000	18	18	gap	20
chr1	16880000	18880000	18	18		20
chr1	18880000	19120000	18	16	boundary,domain	20
chr1	19120000	19680000	16	18		20
chr1	19680000	20200000	18	6		20
chr1	20200000	21400000	6	18	domain	20
chr1	21400000	21440000	18	18	gap	20
chr1	21440000	21960000	18	18	domain	20
chr1	21960000	22000000	18	18	gap	20
chr1	22000000	22960000	18	18	domain	20
chr1	22960000	23440000	18	16	boundary,domain	20
chr1	23440000	23720000	16	18	boundary,domain	20
chr1	23720000	24040000	18	12	boundary,domain	20
chr1	24040000	25280000	12	18		20
chr1	25280000	25440000	18	18	gap	20
chr1	25440000	26480000	18	18		20
chr1	26480000	26920000	18	18	boundary,domain	20
chr1	26920000	27400000	18	17	boundary,domain	20
chr1	27400000	27840000	17	10		20
chr1	27840000	28240000	10	18	boundary,domain	20
chr1	28240000	28640000	18	17	boundary,domain	20
chr1	28640000	28880000	17	7	boundary,domain	20
chr1	28880000	29240000	7	18	boundary,domain	20
chr1	29240000	30720000	18	18	domain	20
chr1	30720000	30920000	18	18	boundary,domain	20
chr1	30920000	31560000	18	18	boundary,domain	20
chr1	31560000	32200000	18	7		20
chr1	32200000	32360000	7	17	boundary,domain	20
chr1	32360000	32880000	17	18	boundary,domain	20
chr1	32880000	33120000	18	18	boundary,domain	20
chr1	33120000	33520000	18	11	boundary,domain	20
chr1	33520000	34800000	11	18		20
chr1	34800000	36080000	18	18		20
chr1	36080000	36480000	18	18	boundary,domain	20
chr1	36480000	37440000	18	18	domain	20
chr1	37440000	37720000	18	14	boundary,domain	20
chr1	37720000	37880000	14	3		20
chr1	37880000	38000000	3	18		20
chr1	38000000	38880000	18	18	domain	20
chr1	38880000	39600000	18	9	domain	20
chr1	39600000	39800000	9	18	boundary,domain	20
chr1	39800000	40040000	18	18	boundary,domain	20
chr1	40040000	40480000	18	18	boundary,domain	20
chr1	40480000	41000000	18	14	boundary,domain	20
chr1	41000000	41240000	14	18	boundary,domain	20
chr1	41240000	41520000	18	18	boundary,domain	20
chr1	41520000	42800000	18	18	domain	20
chr1	42800000	43160000	18	18	boundary,domain	20
chr1	43160000	43720000	18	10	domain	20
chr1	43720000	44040000	10	17	domain	20
chr1	44040000	44720000	17	18	domain	20
chr1	44720000	45320000	18	18	domain	20
chr1	45320000	45520000	18	18	boundary,domain	20
chr1	45520000	46040000	18	2	domain	20
chr1	46040000	46880000	2	18	domain	20
chr1	46880000	47160000	18	18	gap	20
chr1	47160000	48280000	18	11		20
chr1	48280000	48520000	11	18	domain	20
chr1	48520000	49440000	18	18	domain	20
chr1	49440000	49520000	18	18	gap	20
chr1	49520000	50360000	18	18	domain	20
chr1	50360000	51240000	18	18	domain	20
chr1	51240000	51880000	18	18	boundary,domain	20
chr1	51880000	52040000	18	18	boundary,domain	20
chr1	52040000	53240000	18	18	domain	20
chr1	53240000	53800000	18	18	domain	20
chr1	53800000	54920000	18	15		20
chr1	54920000	55040000	15	15	boundary,domain	20
chr1	55040000	55320000	15	15		20
chr1	55320000	56800000	15	18	domain	20
chr1	56800000	58520000	18	18	domain	20
chr1	58520000	58680000	18	18		20
chr1	58680000	59840000	18	17	domain	20
chr1	59840000	59960000	17	14	boundary,domain	20
chr1	59960000	60960000	14	13	domain	20
chr1	60960000	61880000	13	14	domain	20
chr1	61880000	62160000	14	12	boundary,domain	20
chr1	62160000	62440000	12	18	boundary,domain	20
chr1	62440000	62800000	18	18	domain	20
chr1	62800000	63560000	18	18	domain	20
chr1	63560000	64880000	18	16	domain	20
chr1	64880000	66760000	16	18		20
chr1	66760000	67520000	18	18		20
chr1	67520000	67760000	18	14	domain	20
chr1	67760000	68440000	14	18		20
chr1	68440000	70120000	18	18	domain	20
chr1	70120000	71080000	18	18	domain	20
chr1	71080000	72280000	18	18	domain	20
chr1	72280000	72360000	18	18	gap	20
chr1	72360000	74760000	18	18	domain	20
chr1	74760000	75200000	18	11	domain	20
chr1	75200000	75880000	11	18	domain	20
chr1	75880000	77160000	18	18		20
chr1	77160000	78120000	18	16		20
chr1	78120000	78720000	16	17	domain	20
chr1	78720000	83120000	17	18		20
chr1	83120000	83480000	18	18	gap	20
chr1	83480000	85520000	18	18	domain	20
chr1	85520000	85560000	18	18	gap	20
chr1	85560000	86720000	18	12	domain	20
chr1	86720000	87120000	12	18	domain	20
chr1	87120000	89400000	18	18	domain	20
chr1	89400000	89440000	18	18	gap	20
chr1	89440000	91240000	18	4	domain	20
chr1	91240000	91400000	4	12		20
chr1	91400000	92840000	12	15		20
chr1	92840000	93880000	15	18		20
chr1	93880000	94480000	18	18		20
chr1	94480000	94840000	18	16	domain	20
chr1	94840000	95080000	16	17	boundary,domain	20
chr1	95080000	95240000	17	18	boundary,domain	20
chr1	95240000	96960000	18	13		20
chr1	96960000	98560000	13	16	domain	20
chr1	98560000	99760000	16	18		20
chr1	99760000	100880000	18	18	domain	20
chr1	100880000	101400000	18	17	domain	20
chr1	101400000	103600000	17	18	domain	20
chr1	103600000	103760000	18	18	gap	20
chr1	103760000	104640000	18	18	domain	20
chr1	104640000	104680000	18	18	gap	20
chr1	104680000	105800000	18	17	domain	20
chr1	105800000	107200000	17	18	domain	20
chr1	107200000	108200000	18	18	domain	20
chr1	108200000	108480000	18	18	gap	20
chr1	108480000	109680000	18	18	domain	20
chr1	109680000	109720000	18	18	gap	20
chr1	109720000	111160000	18	18	domain	20
chr1	111160000	111440000	18	18	boundary,domain	20
chr1	111440000	112400000	18	18	domain	20
chr1	112400000	112720000	18	18		20
chr1	112720000	113040000	18	18		20
chr1	113040000	113800000	18	17	domain	20
chr1	113800000	114800000	17	14		20
chr1	114800000	116600000	14	18		20
chr1	116600000	116640000	18	18	gap	20
chr1	116640000	117960000	18	18	domain	20
chr1	117960000	119960000	18	18	domain	20
chr1	119960000	143560000	18	18	gap	20
chr1	143560000	143720000	18	18	domain	20
chr1	143720000	145840000	18	18	gap	20
chr1	145840000	146040000	18	18	domain	20
chr1	146040000	147040000	18	18	gap	20
chr1	147040000	147920000	18	18	domain	20
chr1	147920000	149880000	18	18	gap	20
