chr_x	start_x	end_x	chr_y	start_y	end_y	Replicate	Seq_Depth	anchor_ID_x	anchor_ID_y	loop_ID	fdr	detection_scale
chr11	66550000	66590000	chr11	66670000	66710000	2	100000000	241	242	241_242	0.160272820356049	2.11121265723663
chr12	53970000	54030000	chr12	54190000	54210000	3	100000000	613	614	613_614	0.110116561505388	2.59920766833995
chr17	4200000	4230000	chr17	4400000	4420000	3	100000000	822	825	822_825	0.146827435589053	2.11121265723663
chr19	12960000	12980000	chr19	13080000	13140000	3	100000000	1368	1369	1368_1369	0.155312279768793	2.11121265723663
chr22	35410000	35460000	chr22	35560000	35640000	3	100000000	1654	1655	1654_1655	0.118737581374805	2.59920766833995
chr6	43740000	43780000	chr6	44070000	44090000	4	100000000	1900	1903	1900_1903	0.123049459262927	2.59920766833995
chr16	69140000	69170000	chr16	69290000	69320000	5	100000000	2346	2347	2346_2347	0.158103911113079	2.59920766833995
chr19	2450000	2480000	chr19	2590000	2630000	5	100000000	1317	1318	1317_1318	0.143156831243405	2.59920766833995
chr10	103700000	103740000	chr10	103850000	103880000	6	100000000	2699	2700	2699_2700	0.116866597919989	2.59920766833995
chr2	236500000	236550000	chr2	237010000	237060000	7	100000000	3329	3330	3329_3330	0.104907407358712	4.22242531447326
chr2	26590000	26620000	chr2	26730000	26760000	8	100000000	2797	2798	2797_2798	0.119340228137748	2.11121265723663
chr16	77230000	77260000	chr16	77560000	77600000	8	100000000	2368	2371	2368_2371	0.0930478277745573	2.11121265723663
chr3	134300000	134320000	chr3	134450000	134480000	9	100000000	3500	3501	3500_3501	0.144278949727313	2.59920766833995
chr17	49840000	49880000	chr17	49990000	50010000	9	100000000	1104	1105	1104_1105	0.14488459645772	2.11121265723663
chr5	172710000	172740000	chr5	172900000	172950000	10	100000000	3933	3936	3933_3936	0.0729985466664504	2.11121265723663
chr16	70340000	70390000	chr16	70470000	70530000	10	100000000	2350	2351	2350_2351	0.190435477499001	2.11121265723663
chr17	2010000	2080000	chr17	2230000	2270000	10	100000000	807	810	807_810	0.115029035557887	2.59920766833995
chr1	11300000	11330000	chr1	11600000	11630000	1	150000000	4036	4039	4036_4039	0.0595125773152662	2.59920766833995
chr1	17120000	17150000	chr1	17230000	17260000	1	150000000	4065	4066	4065_4066	0.1621959036463	2.11121265723663
chr1	22410000	22440000	chr1	22630000	22650000	1	150000000	4101	4102	4101_4102	0.0799075190244504	2.59920766833995
chr1	22670000	22710000	chr1	22860000	22880000	1	150000000	4103	4104	4103_4104	0.125702662347287	2.59920766833995
chr1	31170000	31200000	chr1	31320000	31350000	1	150000000	4144	4145	4144_4145	0.102633319979053	2.59920766833995
chr1	32220000	32230000	chr1	32320000	32330000	1	150000000	4151	4152	4151_4152	0.061749271094645	2.11121265723663
chr1	43460000	43470000	chr1	43590000	43600000	1	150000000	4204	4205	4204_4205	0.184606042220126	2.11121265723663
chr1	53270000	53290000	chr1	53390000	53410000	1	150000000	4241	4242	4241_4242	0.140164936922941	2.11121265723663
chr1	99150000	99200000	chr1	99460000	99480000	1	150000000	4330	4331	4330_4331	0.0909980441810117	2.11121265723663
chr1	179700000	179710000	chr1	179810000	179830000	1	150000000	4518	4519	4518_4519	0.191374121335863	2.59920766833995
chr1	204190000	204210000	chr1	204350000	204380000	1	150000000	4574	4575	4574_4575	0.0458996160908441	2.11121265723663
chr1	208020000	208040000	chr1	208230000	208250000	1	150000000	4588	4589	4588_4589	0.153045277457989	2.59920766833995
chr2	85410000	85440000	chr2	85540000	85560000	1	150000000	2976	2977	2976_2977	0.0238543975959688	2.11121265723663
chr2	201850000	201880000	chr2	202150000	202160000	1	150000000	3253	3254	3253_3254	0.0909063986828719	3.2
chr2	234540000	234570000	chr2	235090000	235120000	1	150000000	3320	3321	3320_3321	0.0383008458014677	2.11121265723663
chr3	44040000	44050000	chr3	44160000	44170000	1	150000000	3385	3386	3385_3386	0.153593134182066	2.11121265723663
chr3	50360000	50380000	chr3	50540000	50560000	1	150000000	3410	3411	3410_3411	0.0701909987220016	2.59920766833995
chr3	57980000	58020000	chr3	58110000	58120000	1	150000000	3434	3435	3434_3435	0.107368184604794	2.11121265723663
chr3	194670000	194750000	chr3	194930000	195030000	1	150000000	3606	3608	3606_3608	0.108606467968972	2.11121265723663
chr4	8240000	8280000	chr4	8380000	8420000	1	150000000	4754	4755	4754_4755	0.127378106538923	3.67583473599051
chr4	47680000	47710000	chr4	47820000	47840000	1	150000000	4820	4821	4820_4821	0.0968102091069224	2.59920766833995
chr4	53900000	53940000	chr4	54190000	54230000	1	150000000	4824	4826	4824_4826	0.0924576584924669	2.11121265723663
chr4	56590000	56610000	chr4	56780000	56830000	1	150000000	4830	4832	4830_4832	0.136583594331839	2.59920766833995
chr4	81060000	81070000	chr4	81350000	81360000	1	150000000	4862	4863	4862_4863	0.118573436497745	2.59920766833995
chr4	153440000	153450000	chr4	153570000	153580000	1	150000000	4954	4955	4954_4955	0.10799782014182	2.59920766833995
chr5	10420000	10470000	chr5	10620000	10650000	1	150000000	3630	3631	3630_3631	0.0231101276592182	2.11121265723663
chr5	16780000	16810000	chr5	17170000	17190000	1	150000000	3645	3649	3645_3649	0.0464375821278015	2.59920766833995
chr5	72370000	72390000	chr5	72520000	72540000	1	150000000	3751	3752	3751_3752	0.0295327601344865	2.11121265723663
chr5	80100000	80120000	chr5	80300000	80320000	1	150000000	3762	3763	3762_3763	0.0694118551280736	3.2
chr5	133660000	133670000	chr5	133830000	133840000	1	150000000	3811	3812	3811_3812	0.101091648718494	2.11121265723663
chr5	134380000	134420000	chr5	134540000	134590000	1	150000000	3817	3818	3817_3818	0.138789170029435	2.59920766833995
chr5	141400000	141410000	chr5	141520000	141560000	1	150000000	3848	3849	3848_3849	0.146516049917652	2.11121265723663
chr5	147450000	147460000	chr5	147560000	147580000	1	150000000	3867	3868	3867_3868	0.0660282614619583	2.11121265723663
chr5	149810000	149860000	chr5	149960000	149980000	1	150000000	3881	3882	3881_3882	0.145511180200515	2.11121265723663
chr5	172710000	172740000	chr5	172900000	172950000	1	150000000	3933	3936	3933_3936	0.0281883390765203	2.11121265723663
chr5	172770000	172780000	chr5	172900000	172950000	1	150000000	3935	3936	3935_3936	0.0954859668102583	2.11121265723663
chr5	174940000	174970000	chr5	175440000	175460000	1	150000000	3952	3953	3952_3953	0.0445714353982642	2.11121265723663
chr6	1120000	1130000	chr6	1270000	1280000	1	150000000	1748	1749	1748_1749	0.157033157378148	2.11121265723663
chr6	24850000	24870000	chr6	24990000	25040000	1	150000000	1797	1798	1797_1798	0.0616250593049129	2.59920766833995
chr6	30900000	30930000	chr6	31060000	31090000	1	150000000	1838	1839	1838_1839	0.0340807284061025	2.11121265723663
chr6	32390000	32460000	chr6	32690000	32710000	1	150000000	1844	1845	1844_1845	0.0715699077128933	2.59920766833995
chr6	35580000	35600000	chr6	35730000	35760000	1	150000000	1865	1866	1865_1866	0.0398488841289429	2.11121265723663
chr6	37010000	37050000	chr6	37190000	37220000	1	150000000	1870	1872	1870_1872	0.0476025419287641	3.67583473599051
chr6	39160000	39180000	chr6	39290000	39320000	1	150000000	1878	1880	1878_1880	0.0541131338508351	2.11121265723663
chr6	46220000	46240000	chr6	46390000	46410000	1	150000000	1911	1912	1911_1912	0.057341573024527	2.11121265723663
chr6	49610000	49630000	chr6	49840000	49860000	1	150000000	1917	1918	1917_1918	0.0839448227109234	2.11121265723663
chr6	138580000	138600000	chr6	138730000	138740000	1	150000000	2031	2032	2031_2032	0.0856765841191854	2.11121265723663
chr6	165880000	165900000	chr6	166090000	166120000	1	150000000	2110	2111	2110_2111	0.0458920692750322	2.11121265723663
chr7	6150000	6180000	chr7	6300000	6350000	1	150000000	5029	5031	5029_5031	0.0875421850915033	2.11121265723663
chr7	28920000	28960000	chr7	29090000	29110000	1	150000000	5089	5090	5089_5090	0.0514312234141963	2.11121265723663
chr7	75860000	75880000	chr7	76000000	76030000	1	150000000	5181	5182	5181_5182	0.113646289942857	2.11121265723663
chr7	87290000	87320000	chr7	87410000	87440000	1	150000000	5233	5234	5233_5234	0.126789905027917	2.11121265723663
chr7	101680000	101720000	chr7	102230000	102290000	1	150000000	5287	5296	5287_5296	0.106867303678214	2.11121265723663
chr7	116970000	116990000	chr7	117120000	117130000	1	150000000	5319	5320	5319_5320	0.0469607915427573	2.11121265723663
chr7	155580000	155610000	chr7	155720000	155760000	1	150000000	5424	5425	5424_5425	0.0556510758009712	2.59920766833995
chr8	8540000	8570000	chr8	8650000	8680000	1	150000000	5462	5465	5462_5465	0.141857691905212	2.11121265723663
chr8	22410000	22450000	chr8	22560000	22590000	1	150000000	5531	5532	5531_5532	0.167724859469974	2.59920766833995
chr8	30190000	30230000	chr8	30550000	30580000	1	150000000	5553	5554	5553_5554	0.0671702669672145	2.11121265723663
chr8	41680000	41710000	chr8	41820000	41840000	1	150000000	5586	5587	5586_5587	0.135104930405615	2.11121265723663
chr8	55810000	55830000	chr8	56010000	56020000	1	150000000	5624	5625	5624_5625	0.197667130503086	2.11121265723663
chr8	78730000	78740000	chr8	78910000	78920000	1	150000000	5644	5645	5644_5645	0.0793938416281725	2.11121265723663
chr8	93810000	93830000	chr8	93950000	93970000	1	150000000	5660	5661	5660_5661	0.0549838850968525	2.11121265723663
chr9	7410000	7420000	chr9	7530000	7550000	1	150000000	5786	5787	5786_5787	0.170333224962224	2.11121265723663
chr9	27030000	27050000	chr9	27240000	27280000	1	150000000	5807	5808	5807_5808	0.086979242156721	2.11121265723663
chr9	71060000	71080000	chr9	71190000	71210000	1	150000000	5843	5844	5843_5844	0.132286142967768	2.11121265723663
chr9	72840000	72890000	chr9	73000000	73070000	1	150000000	5851	5852	5851_5852	0.0495134683839259	2.59920766833995
