chr_x	start_x	end_x	chr_y	start_y	end_y	Replicate	Seq_Depth	anchor_ID_x	anchor_ID_y	loop_ID	fdr	detection_scale
chr1	9270000	9320000	chr1	9450000	9500000	1	100000000	47	50	47_50	0.107957242374146	2.59920766833995
chr7	6150000	6170000	chr7	6300000	6330000	1	100000000	703	704	703_704	0.190583946137964	2.59920766833995
chr17	2020000	2100000	chr17	2230000	2260000	1	100000000	1028	1029	1028_1029	0.0995126927978847	2.11121265723663
chr22	35410000	35450000	chr22	35560000	35660000	1	100000000	1583	1584	1583_1584	0.12896749445509	2.11121265723663
chr22	36300000	36330000	chr22	36450000	36480000	1	100000000	1592	1593	1592_1593	0.176112832547689	2.59920766833995
chr1	18900000	18930000	chr1	19070000	19110000	2	100000000	105	106	105_106	0.0987887175893786	2.11121265723663
chr9	135060000	135100000	chr9	135330000	135370000	2	100000000	1890	1892	1890_1892	0.147076278818243	2.11121265723663
chr9	136490000	136510000	chr9	136610000	136640000	2	100000000	1896	1897	1896_1897	0.0493921147538782	2.11121265723663
chr14	92950000	92980000	chr14	93110000	93160000	2	100000000	2036	2037	2036_2037	0.169337042551102	2.11121265723663
chr1	18900000	18930000	chr1	19070000	19110000	3	100000000	105	106	105_106	0.0812494983171314	3.2
chr7	310000	350000	chr7	510000	540000	3	100000000	669	670	669_670	0.188005583102081	2.59920766833995
chr9	135960000	135980000	chr9	136100000	136130000	3	100000000	1894	1895	1894_1895	0.0932645274114153	2.11121265723663
chr14	76870000	76950000	chr14	77030000	77090000	3	100000000	2013	2014	2013_2014	0.167651748677625	2.59920766833995
chr16	85810000	85840000	chr16	86000000	86030000	3	100000000	2349	2351	2349_2351	0.105589031218307	2.59920766833995
chr19	33230000	33260000	chr19	33390000	33440000	3	100000000	2532	2533	2532_2533	0.151137713886659	2.59920766833995
chr19	3300000	3340000	chr19	3450000	3480000	4	100000000	2403	2405	2403_2405	0.112112076962109	2.11121265723663
chr1	226610000	226650000	chr1	226810000	226850000	5	100000000	621	622	621_622	0.130717903527667	2.11121265723663
chr12	52570000	52600000	chr12	52840000	52890000	5	100000000	2804	2807	2804_2807	0.166164591129804	2.59920766833995
chr16	800000	860000	chr16	1020000	1110000	5	100000000	2120	2123	2120_2123	0.193354438678724	2.59920766833995
chr17	2020000	2100000	chr17	2230000	2260000	5	100000000	1028	1029	1028_1029	0.184452816435927	2.11121265723663
chr19	7100000	7190000	chr19	7300000	7350000	5	100000000	2430	2431	2430_2431	0.116422427458966	2.59920766833995
chr22	36300000	36330000	chr22	36450000	36480000	5	100000000	1592	1593	1592_1593	0.0942585320082251	2.59920766833995
chr11	66670000	66710000	chr11	66800000	66850000	6	100000000	3184	3185	3184_3185	0.102438438271889	2.59920766833995
chr17	17350000	17380000	chr17	17610000	17650000	6	100000000	1094	1099	1094_1099	0.114442794521023	2.11121265723663
chr20	37260000	37290000	chr20	37370000	37410000	6	100000000	3483	3484	3483_3484	0.11632939875022	2.11121265723663
chr22	35410000	35450000	chr22	35560000	35660000	6	100000000	1583	1584	1583_1584	0.185442795154173	2.11121265723663
chr11	130410000	130450000	chr11	130840000	130880000	8	100000000	3361	3364	3361_3364	0.0810537642437495	3.67583473599051
chr16	69140000	69170000	chr16	69290000	69320000	8	100000000	2302	2303	2302_2303	0.147192842981854	2.59920766833995
chr2	110820000	110850000	chr2	111050000	111090000	9	100000000	3856	3857	3856_3857	0.0565960161729477	3.67583473599051
chr1	2190000	2220000	chr1	2380000	2400000	10	100000000	3	5	3_5	0.129363659432026	2.59920766833995
chr19	14130000	14180000	chr19	14330000	14370000	10	100000000	2467	2469	2467_2469	0.129253764867469	2.59920766833995
chr22	36300000	36330000	chr22	36450000	36480000	10	100000000	1592	1593	1592_1593	0.121108981060321	2.11121265723663
chr1	7970000	8010000	chr1	8280000	8350000	1	150000000	38	42	38_42	0.0724532161609587	2.59920766833995
