chr_x	start_x	end_x	chr_y	start_y	end_y	Replicate	Seq_Depth	anchor_ID_x	anchor_ID_y	loop_ID	fdr	detection_scale
chr10	103700000	103730000	chr10	103850000	103910000	2	100000000	326	327	326_327	0.180848598059351	2.59920766833995
chr6	37020000	37060000	chr6	37160000	37220000	8	100000000	559	560	559_560	0.187039646791623	2.11121265723663
chr1	21220000	21260000	chr1	21350000	21380000	1	150000000	1025	1026	1025_1026	0.182123882778798	2.59920766833995
chr1	22670000	22710000	chr1	22880000	22920000	1	150000000	1036	1038	1036_1038	0.0594985300056527	3.67583473599051
chr1	109250000	109280000	chr1	109390000	109410000	1	150000000	1347	1348	1347_1348	0.130436546233518	2.11121265723663
chr1	211490000	211530000	chr1	211640000	211670000	1	150000000	1641	1643	1641_1643	0.193057476793728	2.11121265723663
chr1	226620000	226650000	chr1	226820000	226860000	1	150000000	1696	1697	1696_1697	0.104252345594337	2.11121265723663
chr2	10110000	10140000	chr2	10400000	10430000	1	150000000	1778	1779	1778_1779	0.0576840441077454	2.11121265723663
chr2	24970000	25000000	chr2	25110000	25150000	1	150000000	1814	1815	1814_1815	0.065208613934625	2.11121265723663
chr2	27080000	27120000	chr2	27280000	27310000	1	150000000	1827	1829	1827_1829	0.105123906488379	2.11121265723663
chr2	218280000	218310000	chr2	218390000	218410000	1	150000000	2288	2289	2288_2289	0.153836514314879	2.11121265723663
chr5	142710000	142750000	chr5	142870000	142890000	1	150000000	2676	2677	2676_2677	0.0617125032523306	2.11121265723663
chr5	149640000	149680000	chr5	149810000	149850000	1	150000000	2704	2705	2704_2705	0.117307943706315	2.59920766833995
chr5	172670000	172730000	chr5	172890000	172950000	1	150000000	2783	2785	2783_2785	0.0256544197982008	2.11121265723663
chr5	174940000	174970000	chr5	175400000	175470000	1	150000000	2804	2806	2804_2806	0.0303829040007154	2.59920766833995
chr6	30810000	30830000	chr6	31060000	31090000	1	150000000	518	521	518_521	0.181481145646345	2.11121265723663
chr6	37020000	37060000	chr6	37160000	37220000	1	150000000	559	560	559_560	0.101031874304141	2.11121265723663
chr7	43570000	43590000	chr7	43710000	43730000	1	150000000	2966	2967	2966_2967	0.141330338228564	2.59920766833995
chr7	101530000	101610000	chr7	102190000	102270000	1	150000000	3115	3125	3115_3125	0.147730013544445	3.2
chr7	139620000	139650000	chr7	139970000	140010000	1	150000000	3234	3240	3234_3240	0.0967556989276238	2.59920766833995
chr9	136490000	136520000	chr9	136610000	136650000	1	150000000	3651	3652	3651_3652	0.107256628074648	2.11121265723663
chr9	136490000	136520000	chr9	136660000	136670000	1	150000000	3651	3653	3651_3653	0.114922470770046	2.11121265723663
chr10	47050000	47080000	chr10	47240000	47370000	1	150000000	119	123	119_123	0.0366484896759069	2.11121265723663
chr12	52570000	52590000	chr12	52830000	52890000	1	150000000	3810	3815	3810_3815	0.0801555451302905	3.67583473599051
chr14	92940000	92970000	chr14	93110000	93160000	1	150000000	4284	4286	4284_4286	0.0354583580184241	2.59920766833995
chr14	99500000	99530000	chr14	99620000	99640000	1	150000000	4324	4325	4324_4325	0.141036114492237	2.59920766833995
chr15	74140000	74150000	chr15	74280000	74320000	1	150000000	4569	4571	4569_4571	0.138184339791846	2.59920766833995
chr16	57590000	57600000	chr16	57700000	57710000	1	150000000	4896	4898	4896_4898	0.19203470477773	2.11121265723663
chr16	84270000	84300000	chr16	84460000	84490000	1	150000000	4983	4984	4983_4984	0.0769093092393652	3.67583473599051
chr17	81250000	81280000	chr17	81460000	81510000	1	150000000	5509	5513	5509_5513	0.0928265130223742	2.11121265723663
chr19	1570000	1590000	chr19	1790000	1820000	1	150000000	5537	5541	5537_5541	0.191797900336916	2.11121265723663
chr19	10250000	10280000	chr19	10380000	10400000	1	150000000	5607	5608	5607_5608	0.139349490365984	2.11121265723663
chr19	35330000	35360000	chr19	35470000	35510000	1	150000000	5734	5735	5734_5735	0.169529884014804	2.11121265723663
chr19	47430000	47460000	chr19	47680000	47740000	1	150000000	5797	5799	5797_5799	0.12891409254773	2.59920766833995
chr20	57580000	57650000	chr20	58170000	58210000	1	150000000	6150	6157	6150_6157	0.0357217452392907	2.11121265723663
chr22	46110000	46150000	chr22	46280000	46320000	1	150000000	6396	6397	6396_6397	0.123597079177488	2.59920766833995
chr1	19320000	19420000	chr1	19630000	19670000	2	150000000	1008	1010	1008_1010	0.132727148854223	3.67583473599051
chr1	109740000	109800000	chr1	109950000	109980000	2	150000000	1351	1355	1351_1355	0.150251288202075	2.59920766833995
chr1	201530000	201580000	chr1	201690000	201720000	2	150000000	1572	1573	1572_1573	0.155575247854887	2.11121265723663
chr1	226620000	226650000	chr1	226820000	226860000	2	150000000	1696	1697	1696_1697	0.058666138444983	2.11121265723663
chr2	105360000	105380000	chr2	105510000	105530000	2	150000000	2077	2078	2077_2078	0.0593945795011302	2.11121265723663
chr2	216510000	216530000	chr2	216650000	216670000	2	150000000	2276	2277	2276_2277	0.110221103379421	2.59920766833995
chr2	237120000	237160000	chr2	237390000	237440000	2	150000000	2369	2371	2369_2371	0.0636044356497746	3.2
chr4	8230000	8260000	chr4	8380000	8420000	2	150000000	6459	6460	6459_6460	0.183666449059812	3.67583473599051
chr8	22420000	22450000	chr8	22550000	22590000	2	150000000	6815	6816	6815_6816	0.116858657469582	3.67583473599051
chr9	94770000	94820000	chr9	95080000	95180000	2	150000000	3470	3475	3470_3475	0.135460788813251	3.2
chr9	113430000	113460000	chr9	113630000	113670000	2	150000000	3523	3525	3523_3525	0.0498394563257728	2.11121265723663
chr9	129650000	129660000	chr9	129770000	129790000	2	150000000	3594	3595	3594_3595	0.19309683337156	2.11121265723663
chr9	136490000	136520000	chr9	136610000	136650000	2	150000000	3651	3652	3651_3652	0.0611672589131847	2.11121265723663
chr10	47050000	47080000	chr10	47240000	47370000	2	150000000	119	123	119_123	0.17612065130871	1.83791736799526
chr10	95390000	95450000	chr10	95590000	95620000	2	150000000	278	279	278_279	0.167658174579036	2.11121265723663
chr10	102170000	102230000	chr10	102340000	102400000	2	150000000	318	319	318_319	0.187811086037022	2.11121265723663
chr11	121310000	121340000	chr11	121520000	121560000	2	150000000	7498	7500	7498_7500	0.110467016401777	3.67583473599051
chr12	52570000	52590000	chr12	52830000	52890000	2	150000000	3810	3815	3810_3815	0.0411718421209885	2.59920766833995
chr12	109250000	109280000	chr12	109380000	109400000	2	150000000	3949	3950	3949_3950	0.168890212414045	2.11121265723663
chr12	124020000	124060000	chr12	124280000	124380000	2	150000000	4065	4067	4065_4067	0.0991615817138513	3.2
chr14	76870000	76920000	chr14	77040000	77090000	2	150000000	4250	4251	4250_4251	0.154940085731466	2.11121265723663
chr16	68380000	68400000	chr16	68500000	68520000	2	150000000	4923	4924	4923_4924	0.193322419311718	2.11121265723663
chr16	69150000	69170000	chr16	69280000	69300000	2	150000000	4929	4930	4929_4930	0.121380541370308	2.59920766833995
chr16	85810000	85840000	chr16	85980000	86030000	2	150000000	4997	4998	4997_4998	0.101106587664019	2.59920766833995
chr17	74350000	74380000	chr17	74460000	74500000	2	150000000	5443	5444	5443_5444	0.132961874646134	2.11121265723663
chr19	2450000	2480000	chr19	2590000	2620000	2	150000000	5551	5552	5551_5552	0.123837335522107	2.59920766833995
chr19	3300000	3330000	chr19	3450000	3490000	2	150000000	5557	5559	5557_5559	0.0896509070312096	2.59920766833995
chr20	49330000	49350000	chr20	49480000	49530000	2	150000000	6106	6107	6106_6107	0.0639493397581999	3.2
chr22	28850000	28880000	chr22	29030000	29060000	2	150000000	6243	6244	6243_6244	0.192224772930021	2.11121265723663
chr1	17110000	17130000	chr1	17230000	17270000	3	150000000	985	987	985_987	0.134966431447322	2.11121265723663
chr1	18540000	18620000	chr1	18800000	18870000	3	150000000	1003	1005	1003_1005	0.177009413007235	2.11121265723663
chr1	18900000	18930000	chr1	19080000	19110000	3	150000000	1006	1007	1006_1007	0.0496260234648095	3.2
chr1	23530000	23550000	chr1	23630000	23660000	3	150000000	1046	1047	1046_1047	0.164521669216927	2.11121265723663
chr1	30780000	30810000	chr1	30900000	30920000	3	150000000	1093	1094	1093_1094	0.061883967152638	2.11121265723663
chr1	201530000	201580000	chr1	201690000	201720000	3	150000000	1572	1573	1572_1573	0.185188211411772	2.11121265723663
chr1	203490000	203520000	chr1	203690000	203750000	3	150000000	1585	1588	1585_1588	0.104922011204734	2.11121265723663
chr4	16010000	16040000	chr4	16180000	16230000	3	150000000	6473	6474	6473_6474	0.150510432571568	2.11121265723663
chr6	24850000	24870000	chr6	24990000	25040000	3	150000000	492	493	492_493	0.101850082458341	2.11121265723663
chr6	37020000	37060000	chr6	37160000	37220000	3	150000000	559	560	559_560	0.191435727667399	2.59920766833995
chr6	165870000	165910000	chr6	166080000	166110000	3	150000000	852	853	852_853	0.0449645703189337	2.11121265723663
chr7	1190000	1230000	chr7	1390000	1400000	3	150000000	2841	2843	2841_2843	0.121489115594202	2.59920766833995
chr8	10570000	10600000	chr8	10810000	10840000	3	150000000	6769	6771	6769_6771	0.0651256017426432	2.11121265723663
chr8	22420000	22450000	chr8	22550000	22590000	3	150000000	6815	6816	6815_6816	0.0608778340184221	2.11121265723663
chr8	144100000	144150000	chr8	144240000	144250000	3	150000000	7119	7120	7119_7120	0.194220059576841	2.11121265723663
chr9	36040000	36050000	chr9	36170000	36180000	3	150000000	3376	3378	3376_3378	0.0827104064618422	2.11121265723663
chr9	114090000	114160000	chr9	114270000	114300000	3	150000000	3526	3527	3526_3527	0.0987398070498306	2.59920766833995
chr9	129130000	129180000	chr9	129570000	129630000	3	150000000	3588	3593	3588_3593	0.022489979993846	2.11121265723663
chr9	133520000	133560000	chr9	133710000	133740000	3	150000000	3631	3634	3631_3634	0.185298948690162	3.67583473599051
chr10	7520000	7540000	chr10	7660000	7700000	3	150000000	20	21	20_21	0.143702090336946	2.59920766833995
