chr21	37520000	37530000	chr21	38030000	38040000	C0,510000,0
chr21	37550000	37560000	chr21	38110000	38120000	C0,560000,0
chr21	37670000	37680000	chr21	38170000	38180000	C0,500000,0
chr21	37680000	37690000	chr21	38350000	38360000	C0,670000,0
chr21	37700000	37710000	chr21	38350000	38360000	C0,650000,0
chr21	37710000	37720000	chr21	37920000	37930000	C0,210000,0
chr21	37920000	37930000	chr21	38080000	38090000	C0,160000,0
chr21	38020000	38030000	chr21	38190000	38200000	C0,170000,0
chr21	38050000	38060000	chr21	38160000	38170000	C0,110000,0
chr21	38100000	38110000	chr21	38430000	38440000	C0,330000,0
chr21	38160000	38170000	chr21	38350000	38360000	C0,190000,0
chr21	38170000	38180000	chr21	38360000	38370000	C0,190000,0
chr21	38190000	38200000	chr21	38460000	38470000	C0,270000,0
chr21	38210000	38220000	chr21	38340000	38350000	C0,130000,0
chr21	41520000	41530000	chr21	41740000	41750000	C0,220000,0
chr21	41600000	41610000	chr21	41820000	41830000	C0,220000,0
chr21	41610000	41620000	chr21	41770000	41780000	C0,160000,0
chr21	41630000	41640000	chr21	41740000	41750000	C0,110000,0
chr21	41830000	41840000	chr21	42010000	42020000	C0,180000,0
chr21	41830000	41840000	chr21	42110000	42120000	C0,280000,0
chr21	41900000	41910000	chr21	42110000	42120000	C0,210000,0
chr21	41960000	41970000	chr21	42110000	42120000	C0,150000,0
chr21	42140000	42150000	chr21	42260000	42270000	C0,120000,0
chr21	42140000	42150000	chr21	42450000	42460000	C0,310000,0
chr21	42150000	42160000	chr21	42290000	42300000	C0,140000,0
chr21	42150000	42160000	chr21	42370000	42380000	C0,220000,0
chr21	42180000	42190000	chr21	42360000	42370000	C0,180000,0
chr21	42200000	42210000	chr21	42440000	42450000	C0,240000,0
chr21	42270000	42280000	chr21	42440000	42450000	C0,170000,0
chr21	42300000	42310000	chr21	42440000	42450000	C0,140000,0
chr21	42310000	42320000	chr21	42440000	42450000	C0,130000,0
