File	Total_reads_processed	Reads_too_short_to_map	%Reads_too_short_to_map	Unique_alignments	%Unique_alignments	Multiple_alignments	%Multiple_alignments	Failed_to_align	%failed_to_align	Paired	%Paired
Benign-Prostate-1648133_R1.trunc.fastq.gz	315596443	8029518	2.5	260588669	82.6	42051510	13.3	4926746	1.6	216902132	68.7
Benign-Prostate-1648133_R2.trunc.fastq.gz	315596443	7781795	2.5	256244083	81.2	43933502	13.9	7637063	2.4	216902132	68.7
Benign-Prostate-1664855_R1.trunc.fastq.gz	274577339	7517110	2.7	224302869	81.7	38220184	13.9	4537176	1.7	185988477	67.7
Benign-Prostate-1664855_R2.trunc.fastq.gz	274577339	7327256	2.7	221535977	80.7	39490552	14.4	6223554	2.3	185988477	67.7
Benign-Prostate-3330581_R1.trunc.fastq.gz	280859654	6631698	2.4	230383222	82.0	38096153	13.6	5748581	2.0	191800970	68.3
Benign-Prostate-3330581_R2.trunc.fastq.gz	280859654	6432971	2.3	226644651	80.7	39578738	14.1	8203294	2.9	191800970	68.3
Benign-Prostate-1595983_R1.trunc.fastq.gz	333386019	9233629	2.8	271677273	81.5	46354647	13.9	6120470	1.8	224224383	67.3
Benign-Prostate-1595983_R2.trunc.fastq.gz	333386019	8988996	2.7	268482166	80.5	47897268	14.4	8017589	2.4	224224383	67.3
Benign-Prostate-3320942_R1.trunc.fastq.gz	337281736	8897037	2.6	275344114	81.6	46174411	13.7	6866174	2.0	228644646	67.8
Benign-Prostate-3320942_R2.trunc.fastq.gz	337281736	8680713	2.6	272542968	80.8	47500908	14.1	8557147	2.5	228644646	67.8
