chr	pos	w	Order
chr1	0	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	1320000	4|6	2
chr1	1640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20	18
chr1	1920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	16
chr1	2080000	3|5|6|7|8|9|10|11|12|13|14	11
chr1	2120000	4	1
chr1	2400000	3|4|5|6	4
chr1	2680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	3040000	5|6	2
chr1	3080000	3|4	2
chr1	3440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16	14
chr1	3800000	5|6|7|8|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25	19
chr1	3880000	3|4|5|6|7|8|9|10	8
chr1	4640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	16
chr1	4840000	3|4	2
chr1	5280000	3	1
chr1	5480000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	5520000	15	1
chr1	6000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	6200000	3|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr1	6240000	4	1
chr1	6440000	3|29|30	3
chr1	6480000	4|5|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|31|32|33|34|35|36|37|38|39|40	27
chr1	6600000	12|13	2
chr1	6640000	11	1
chr1	6680000	5|6|7|8|9|10	6
chr1	6720000	3|4	2
chr1	7200000	3|5|6|7|8|9|10|11	8
chr1	7240000	4	1
chr1	7640000	3|4|5|6|7	5
chr1	7680000	8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	33
chr1	7760000	15|16	2
chr1	7960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	8320000	3	1
chr1	8360000	4|5|6|7|8|9|10|11|12|13|14|15|16|17	14
chr1	8840000	3|4|5|6|7|8	6
chr1	8880000	9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	32
chr1	9000000	3|6|11|13|14|15|16|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	29
chr1	9120000	4|27|28|29|30|31|32|33|34|35|36|37|38|39|40	15
chr1	9240000	4	1
chr1	9280000	3	1
chr1	9600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9880000	6	1
chr1	10440000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38	34
chr1	10480000	3|4	2
chr1	11000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	11240000	7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|34|35|36|38|39	24
chr1	11280000	3|4|5|6	4
chr1	11640000	3|4|5|6	4
chr1	11800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26	24
chr1	12000000	4|13|14|15|16|17|18|19|20	9
chr1	12080000	3|5|6|7|8|9|10|11|12|13|19	11
chr1	12240000	7|8|9|10|11|12|13	7
chr1	12280000	3|4|5|6	4
chr1	12880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	13360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	13640000	3|4	2
chr1	13800000	3	1
chr1	13840000	4|6|7|9|10	5
chr1	13960000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	14120000	3	1
chr1	14400000	3	1
chr1	14440000	4	1
chr1	14560000	3|4|5|6|7|8|9|10|11|12	10
chr1	14800000	3	1
chr1	15080000	4|5|6|7	4
chr1	15120000	3|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35	29
chr1	15280000	3	1
chr1	15320000	4|5|6|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	25
chr1	15520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25	23
chr1	15760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	16
chr1	15960000	3	1
chr1	16000000	4|5|6|7|8|9|10|11|12|13	10
chr1	16240000	3	1
chr1	16280000	4	1
chr1	16560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	16600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	16800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	16880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	17400000	5|6|7|9|10|11	6
chr1	17440000	3|4|8|12|13	5
chr1	17640000	3|4|5|6|7|8|9|10|11|12|13|16	12
chr1	17880000	8	1
chr1	17920000	3|4|5|6|7	5
chr1	18120000	3	1
chr1	18240000	6|7	2
chr1	18320000	4|5	2
chr1	18600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35	33
chr1	18880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	19080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	19240000	10	1
chr1	19280000	7|8|9|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	33
chr1	19320000	3|4|5|6	4
chr1	19640000	3|4	2
chr1	19680000	5|6|7|12|13|14|15|16|17|18|19|20|23|25	14
chr1	19720000	8|9|10|11|21|22|24|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	22
chr1	19880000	3|4|5|6|7|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|36|37|38|39|40	35
chr1	20200000	3|4|5|6|7|8	6
chr1	20520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	20680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38	36
chr1	20760000	4|5	2
chr1	21200000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	21360000	12|13|14|15	4
chr1	21640000	7|8|9|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	33
chr1	21680000	3|4|5|6|10	5
chr1	22040000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	22440000	3|4|5|6|7|8|9|10|11|12|13|14|15|20	14
