chr	pos	w	Order
chr1	40000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1040000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	1920000	3	1
chr1	2280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	2320000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	2640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	2760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	3560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	3600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	3920000	3|4|5|6|7	5
chr1	4640000	3|4|5|6|7|8|9|10|11|12|13	11
chr1	4840000	3|4	2
chr1	5480000	3|4|5|6|7|8	6
chr1	5760000	3|4|5	3
chr1	6000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	6200000	3|4|12|13|17|18|19|20|23	9
chr1	6440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	6680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|26|27	24
chr1	7040000	3	1
chr1	7200000	3|4|5	3
chr1	7640000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	7800000	3|8|12|13	4
chr1	7960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	8360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	8520000	13|14	2
chr1	8720000	3	1
chr1	8880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	9120000	4|8|9|11|12|13|15|16|19|20|21|22|23|24|25|26|27|28|29|30	20
chr1	9240000	3|4|5|6|7|8|10	7
chr1	9480000	3	1
chr1	9600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	9720000	5	1
chr1	9960000	4	1
chr1	10160000	3	1
chr1	10360000	3	1
chr1	10480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22	20
chr1	11000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	11240000	3|4|5|6|7|8|9	7
chr1	11640000	3|4|5|6	4
chr1	11800000	3|4|5|6|7|8|9|14|22|23|24|25	12
chr1	11920000	16|17|18	3
chr1	12040000	3|4|5|6|7|8|9|10|11|12|13|14|15|17|18|19	16
chr1	12240000	3|4|5|6|7|8|9|10|11|12	10
chr1	12680000	3	1
chr1	12840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	13360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	13640000	3|4|5|6	4
chr1	13800000	3	1
chr1	13960000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	15120000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	15320000	3|4|5|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	23
chr1	15520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23	21
chr1	15760000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	16040000	3|4|5|6|7	5
chr1	16200000	3|4|5	3
chr1	16480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	16920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	17080000	3	1
chr1	17400000	3|4|5|6|7|8|9|10|11	9
chr1	17640000	3|4|5|6|7|17	6
chr1	18600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	16
chr1	18880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	19120000	3|4|9|10|11|12|13|14|15|18|19|20|21|22|23|24|25|26|27|28|29|30	22
chr1	19280000	3|4|5|6|7|8|9|14|20|21|24|28|30	13
chr1	19720000	3|4|5|6|7|9|10|11|12|13|14|15|16|17	14
chr1	19880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	20200000	3|4|5|6|7|21|22|23|24|25|26|27|28|29|30	15
chr1	20520000	3|4|5|6|13|23|24	7
chr1	20640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	21200000	3|4|5|6|7|8|9|10|11|12|13	11
chr1	21360000	3|4	2
chr1	21680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	22000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	22440000	3|4|5|6	4
chr1	22680000	3|4|5|6|7	5
chr1	22960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	23280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	25
chr1	23480000	3|4|5|6|7|8|9|10|11|12|13|14|15|17|18|19|20|21|22|23|24|25|26|27|28|29|30	27
chr1	23680000	3|4|5|6|8|9|10|11|12|13|14|15|17|18|19|20|21|22|23|26|27|28|29|30	24
chr1	23760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	24080000	4|5|6|7|8|9|10|12|16|17|18|19|20|22|24|25|26|27|28|30	20
chr1	24200000	3|4	2
chr1	24400000	3|4|5|6|7	5
chr1	24640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr1	24840000	3|4|5|6|7|8|9|10	8
chr1	25200000	3	1
chr1	25360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	25400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	25560000	3	1
chr1	25800000	3|4|5|6|7|8|9|10	8
chr1	26000000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	26160000	3|5|6|7|8|9|10|11|12|13|14|18	12
chr1	26440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25	23
chr1	26800000	3	1
chr1	26920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	27280000	3|4|5|6|7|8	6
chr1	27400000	5|7	2
chr1	27720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	27840000	3|19	2
chr1	28000000	13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	15
chr1	28240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	28480000	15	1
chr1	28640000	3|4|5|6|7|8|9|15|16|17|18|19|20|22|25|26|27|28|29|30	20
chr1	28760000	20|21|23|24|25|26	6
chr1	28880000	3|21|22|23|24|25|26	7
chr1	29040000	3	1
chr1	29240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	29480000	5	1
chr1	29800000	3|4	2
chr1	30120000	3|5	2
chr1	30360000	4	1
chr1	30720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	30920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	31080000	13|14|15|16|21|22	6
chr1	31160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
chr1	31400000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	27
chr1	31560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	28
