chr	from.id	from.coord	to.id	to.coord	tag	size
chr6	1	80000	2	160000	gap	80000
chr6	3	160000	12	560000	domain	400000
chr6	13	560000	36	1520000	domain	960000
chr6	37	1520000	66	2720000	domain	1200000
chr6	67	2720000	75	3080000	domain	360000
chr6	76	3080000	80	3280000	boundary	200000
chr6	81	3280000	92	3760000	domain	480000
chr6	93	3760000	99	4040000	domain	280000
chr6	100	4040000	103	4200000	boundary	160000
chr6	104	4200000	123	5000000	domain	800000
chr6	124	5000000	133	5400000	domain	400000
chr6	134	5400000	149	6040000	domain	640000
chr6	150	6040000	162	6560000	domain	520000
chr6	163	6560000	180	7280000	domain	720000
chr6	181	7280000	189	7640000	domain	360000
chr6	190	7640000	201	8120000	domain	480000
chr6	202	8120000	248	10000000	domain	1880000
chr6	249	10000000	259	10440000	domain	440000
chr6	260	10440000	269	10840000	domain	400000
chr6	270	10840000	275	11080000	domain	240000
chr6	276	11080000	287	11560000	domain	480000
chr6	288	11560000	304	12240000	domain	680000
chr6	305	12240000	314	12640000	domain	400000
chr6	315	12640000	331	13320000	domain	680000
chr6	332	13320000	341	13720000	domain	400000
chr6	342	13720000	353	14200000	domain	480000
chr6	354	14200000	379	15240000	domain	1040000
chr6	380	15240000	390	15680000	domain	440000
chr6	391	15680000	404	16240000	domain	560000
chr6	405	16240000	426	17120000	domain	880000
chr6	427	17120000	438	17600000	domain	480000
chr6	439	17600000	443	17800000	domain	200000
chr6	444	17800000	452	18160000	domain	360000
chr6	453	18160000	461	18520000	domain	360000
chr6	462	18520000	500	20080000	domain	1560000
chr6	501	20080000	512	20560000	domain	480000
chr6	513	20560000	538	21600000	domain	1040000
chr6	539	21600000	605	24280000	domain	2680000
chr6	606	24280000	610	24480000	domain	200000
chr6	611	24480000	616	24720000	domain	240000
chr6	617	24720000	627	25160000	domain	440000
chr6	628	25160000	638	25600000	domain	440000
chr6	639	25600000	648	26000000	domain	400000
chr6	649	26000000	665	26680000	domain	680000
chr6	666	26680000	673	27000000	gap	320000
chr6	674	27000000	696	27920000	domain	920000
chr6	697	27920000	699	28040000	domain	120000
chr6	700	28040000	710	28480000	domain	440000
chr6	711	28480000	715	28680000	domain	200000
chr6	716	28680000	724	29040000	domain	360000
chr6	725	29040000	739	29640000	domain	600000
chr6	740	29640000	760	30480000	domain	840000
chr6	761	30480000	762	30560000	boundary	80000
chr6	763	30560000	776	31120000	domain	560000
chr6	777	31120000	786	31520000	domain	400000
chr6	787	31520000	798	32000000	domain	480000
chr6	799	32000000	799	32040000	gap	40000
chr6	800	32040000	810	32480000	domain	440000
chr6	811	32480000	813	32600000	gap	120000
chr6	814	32600000	830	33280000	domain	680000
chr6	831	33280000	833	33400000	boundary	120000
chr6	834	33400000	841	33720000	domain	320000
chr6	842	33720000	852	34160000	domain	440000
chr6	853	34160000	859	34440000	domain	280000
chr6	860	34440000	880	35280000	domain	840000
chr6	881	35280000	885	35480000	boundary	200000
chr6	886	35480000	892	35760000	domain	280000
chr6	893	35760000	908	36400000	domain	640000
chr6	909	36400000	913	36600000	domain	200000
chr6	914	36600000	917	36760000	domain	160000
chr6	918	36760000	923	37000000	boundary	240000
chr6	924	37000000	930	37280000	domain	280000
chr6	931	37280000	941	37720000	domain	440000
chr6	942	37720000	966	38720000	domain	1000000
chr6	967	38720000	982	39360000	domain	640000
chr6	983	39360000	997	39960000	domain	600000
