Sample	Read Mate	Total_reads_processed	Reads_too_short_to_map	Unique_alignments	Multiple_alignments	Failed_to_align	Paired
PCa3023	1	910246351	29720658	736749350	126949970	16826373	601570087
PCa3023	2	910246351	28612381	727786575	131546703	22300692	601570087
PCa13266	1	1389535976	53651658	1103244176	201813193	30826949	882549501
PCa13266	2	1389535976	51561465	1087006273	211131202	39837036	882549501
PCa13848	1	800792402	27157320	646230735	109165433	18238914	529352596
PCa13848	2	800792402	26121634	638042673	113492887	23135208	529352596
PCa14121	1	1286763805	43477429	1030482913	189174158	23629305	832340036
PCa14121	2	1286763805	42124937	1023146799	194858680	26633389	832340036
PCa19121	1	975568062	37200511	784098475	138055509	16213567	635464202
PCa19121	2	975568062	35837977	776365620	142527536	20836929	635464202
PCa33173	1	1205322147	38714352	978952247	166985157	20670391	803839467
PCa33173	2	1205322147	37324160	968205990	172914321	26877676	803839467
PCa40507	1	1178798192	30506787	903731683	171763843	72795879	720006498
PCa40507	2	1178798192	29367257	892011266	179153440	78266229	720006498
PCa51852	1	1493767986	49825415	1189666803	213350842	40924926	958134944
PCa51852	2	1493767986	47963719	1175466206	220959211	49378850	958134944
PCa53687	1	1085407955	27273036	858964793	145098272	54071854	704227158
PCa53687	2	1085407955	26374834	852089734	150188021	56755366	704227158
PCa56413	1	991964391	32051064	803091974	141152411	15668942	658645690
PCa56413	2	991964391	30984343	796362761	145428168	19189119	658645690
PCa57054	1	1520264893	39868618	1241176366	206655843	32564066	1025142790
PCa57054	2	1520264893	38619136	1228691297	214115405	38839055	1025142790
PCa57294	1	1201129218	38906242	971708786	168727409	21786781	794123093
PCa57294	2	1201129218	37453803	962863959	173953044	26858412	794123093
PCa58215	1	985944750	32288534	795624384	140185042	17846790	649245358
PCa58215	2	985944750	31105443	787035152	144940051	22864104	649245358
