chr	from.id	from.coord	to.id	to.coord	tag	size
chr4	1	0	2	80000	gap	80000
chr4	3	80000	16	640000	domain	560000
chr4	17	640000	25	1000000	domain	360000
chr4	26	1000000	34	1360000	domain	360000
chr4	35	1360000	42	1680000	domain	320000
chr4	43	1680000	55	2200000	domain	520000
chr4	56	2200000	68	2720000	domain	520000
chr4	69	2720000	89	3560000	domain	840000
chr4	90	3560000	90	3600000	gap	40000
chr4	91	3600000	97	3880000	domain	280000
chr4	98	3880000	103	4120000	gap	240000
chr4	104	4120000	125	5000000	domain	880000
chr4	126	5000000	149	5960000	domain	960000
chr4	150	5960000	166	6640000	domain	680000
chr4	167	6640000	177	7080000	domain	440000
chr4	178	7080000	194	7760000	domain	680000
chr4	195	7760000	205	8200000	domain	440000
chr4	206	8200000	211	8440000	domain	240000
chr4	212	8440000	215	8600000	boundary	160000
chr4	216	8600000	226	9040000	domain	440000
chr4	227	9040000	242	9680000	gap	640000
chr4	243	9680000	255	10200000	domain	520000
chr4	256	10200000	256	10240000	gap	40000
chr4	257	10240000	293	11720000	domain	1480000
chr4	294	11720000	318	12720000	domain	1000000
chr4	319	12720000	341	13640000	domain	920000
chr4	342	13640000	380	15200000	domain	1560000
chr4	381	15200000	387	15480000	domain	280000
chr4	388	15480000	390	15600000	domain	120000
chr4	391	15600000	400	16000000	domain	400000
chr4	401	16000000	407	16280000	domain	280000
chr4	408	16280000	437	17480000	domain	1200000
chr4	438	17480000	466	18640000	domain	1160000
chr4	467	18640000	480	19200000	domain	560000
chr4	481	19200000	506	20240000	domain	1040000
chr4	507	20240000	518	20720000	domain	480000
chr4	519	20720000	529	21160000	domain	440000
chr4	530	21160000	538	21520000	domain	360000
chr4	539	21520000	544	21760000	boundary	240000
chr4	545	21760000	559	22360000	domain	600000
chr4	560	22360000	569	22760000	domain	400000
chr4	570	22760000	611	24440000	domain	1680000
chr4	612	24440000	635	25400000	domain	960000
chr4	636	25400000	648	25920000	domain	520000
chr4	649	25920000	661	26440000	domain	520000
chr4	662	26440000	676	27040000	domain	600000
chr4	677	27040000	692	27680000	domain	640000
chr4	693	27680000	706	28240000	domain	560000
chr4	707	28240000	726	29040000	domain	800000
chr4	727	29040000	749	29960000	domain	920000
chr4	750	29960000	768	30720000	domain	760000
chr4	769	30720000	795	31800000	domain	1080000
chr4	796	31800000	796	31840000	gap	40000
chr4	797	31840000	810	32400000	domain	560000
chr4	811	32400000	816	32640000	domain	240000
chr4	817	32640000	820	32800000	domain	160000
chr4	821	32800000	842	33680000	domain	880000
chr4	843	33680000	846	33840000	boundary	160000
chr4	847	33840000	854	34160000	domain	320000
chr4	855	34160000	869	34760000	domain	600000
chr4	870	34760000	871	34840000	gap	80000
chr4	872	34840000	899	35960000	domain	1120000
chr4	900	35960000	908	36320000	domain	360000
chr4	909	36320000	935	37400000	domain	1080000
chr4	936	37400000	939	37560000	boundary	160000
chr4	940	37560000	951	38040000	domain	480000
chr4	952	38040000	969	38760000	domain	720000
chr4	970	38760000	986	39440000	domain	680000
chr4	987	39440000	1001	40040000	domain	600000
chr4	1002	40040000	1008	40320000	domain	280000
chr4	1009	40320000	1019	40760000	domain	440000
chr4	1020	40760000	1031	41240000	domain	480000
chr4	1032	41240000	1042	41680000	domain	440000
chr4	1043	41680000	1048	41920000	boundary	240000
chr4	1049	41920000	1075	43000000	domain	1080000
chr4	1076	43000000	1094	43760000	domain	760000
chr4	1095	43760000	1118	44720000	domain	960000
chr4	1119	44720000	1137	45480000	domain	760000
chr4	1138	45480000	1157	46280000	domain	800000
chr4	1158	46280000	1171	46840000	domain	560000
chr4	1172	46840000	1186	47440000	domain	600000
chr4	1187	47440000	1189	47560000	boundary	120000
chr4	1190	47560000	1204	48160000	domain	600000
chr4	1205	48160000	1213	48520000	domain	360000
chr4	1214	48520000	1227	49080000	domain	560000
chr4	1228	49080000	1296	51840000	gap	2760000
chr4	1297	51840000	1313	52520000	domain	680000
chr4	1314	52520000	1325	53000000	domain	480000
chr4	1326	53000000	1347	53880000	domain	880000
chr4	1348	53880000	1357	54280000	domain	400000
chr4	1358	54280000	1374	54960000	domain	680000
chr4	1375	54960000	1397	55880000	domain	920000
chr4	1398	55880000	1410	56400000	domain	520000
chr4	1411	56400000	1426	57040000	domain	640000
chr4	1427	57040000	1472	58880000	domain	1840000
chr4	1473	58880000	1473	58920000	gap	40000
chr4	1474	58920000	1480	59200000	domain	280000
chr4	1481	59200000	1507	60280000	domain	1080000
chr4	1508	60280000	1511	60440000	boundary	160000
chr4	1512	60440000	1551	62040000	domain	1600000
chr4	1552	62040000	1564	62560000	domain	520000
chr4	1565	62560000	1569	62760000	boundary	200000
chr4	1570	62760000	1581	63240000	domain	480000
chr4	1582	63240000	1582	63280000	gap	40000
chr4	1583	63280000	1615	64600000	domain	1320000
chr4	1616	64600000	1654	66160000	domain	1560000
chr4	1655	66160000	1668	66720000	domain	560000
chr4	1669	66720000	1685	67400000	domain	680000
chr4	1686	67400000	1693	67720000	domain	320000
chr4	1694	67720000	1706	68240000	domain	520000
chr4	1707	68240000	1716	68640000	domain	400000
chr4	1717	68640000	1717	68680000	gap	40000
chr4	1718	68680000	1730	69200000	domain	520000
chr4	1731	69200000	1736	69440000	gap	240000
chr4	1737	69440000	1765	70600000	domain	1160000
chr4	1766	70600000	1776	71040000	domain	440000
chr4	1777	71040000	1793	71720000	domain	680000
chr4	1794	71720000	1807	72280000	domain	560000
chr4	1808	72280000	1826	73040000	domain	760000
chr4	1827	73040000	1832	73280000	domain	240000
chr4	1833	73280000	1854	74160000	domain	880000
chr4	1855	74160000	1870	74800000	domain	640000
chr4	1871	74800000	1888	75520000	domain	720000
chr4	1889	75520000	1899	75960000	domain	440000
chr4	1900	75960000	1910	76400000	domain	440000
chr4	1911	76400000	1931	77240000	domain	840000
chr4	1932	77240000	1947	77880000	domain	640000
