Gene	VCaP
A1BG	0.0288137291363
A1CF	0.000383940737217
A2M	0.0342950495637
A2ML1	0.000450399844383
A3GALT2	0.0133241318369
A4GALT	0.0450611102068
A4GNT	8.45589430928e-05
AAAS	0.00784042327211
AACS	0.00123337316698
AADAC	0.000298486956226
AADACL2	0.00118062683151
AADACL3	0.0108229201052
AADACL4	0.00431573135801
AADAT	0.00797011718311
AAED1	0.0439856045296
AAGAB	0.00338115229263
AAK1	0.0555744657698
AAMDC	0.0107195091431
AAMP	0.798282648502
AANAT	0.185790765061
AAR2	0.0613176615219
AARD	0.180810508341
AARS	1
AARS2	0.922199747589
AARSD1	0.0381352443724
AASDH	0.0079016366824
AASDHPPT	0.276896901445
AASS	0.00507378647989
AATF	0.649129661083
AATK	0.197216162766
ABAT	0.0155865640885
ABCA1	0.00107013509624
ABCA10	0.00436366844165
ABCA12	0.000250833772049
ABCA13	0.00154701257755
ABCA2	0.134455651554
ABCA3	0.0941808980785
ABCA4	0.0173877332647
ABCA5	0.0252936943685
ABCA6	0.00184270606741
ABCA7	0.0927372350371
ABCA8	0.0747954792259
ABCA9	0.00288755743634
ABCB1	0.00504746740329
ABCB10	0.544225599111
ABCB11	0.0012445389
ABCB4	1.95560918833e-05
ABCB5	0.00776479069048
ABCB6	0.0171637438314
ABCB7	0.584458783441
ABCB8	0.00503288874664
ABCB9	0.0483294880216
ABCC1	2.53391869186e-06
ABCC10	0.0927793001865
ABCC11	0.000232808017645
ABCC12	0.00144041317313
ABCC2	0.00217797904172
ABCC3	0.207644298866
ABCC4	0.00400317056901
ABCC5	0.0010418250243
ABCC6	0.100550869217
ABCC8	0.00794288852012
ABCC9	0.00700526296889
ABCD1	0.054609844038
ABCD2	0.0504524060934
ABCD3	0.0500274755041
ABCD4	0.00332310959096
ABCE1	0.891947187904
ABCF1	0.914478117641
ABCF2	0.100573335046
ABCF3	0.00848071878975
ABCG1	0.709698133001
ABCG2	0.0361916616276
ABCG4	0.0316680355028
ABCG5	9.64865291403e-05
ABCG8	0.00788421495101
ABHD1	0.0179414055984
ABHD10	0.00118504165309
ABHD11	0.279727011795
ABHD12	0.00108227098318
ABHD12B	0.0228438466159
ABHD13	0.599503432906
ABHD14A	0.0949053261719
ABHD14B	0.0682958159082
ABHD15	0.667328045738
ABHD16A	0.420858502497
ABHD16B	0.319376687457
ABHD17A	0.888276506931
ABHD17B	0.0282571974616
ABHD17C	0.00279950130862
ABHD18	0.00159177832724
ABHD2	0.139008755545
ABHD3	0.0273879382895
ABHD4	0.0155732139874
ABHD5	0.00464680879771
ABHD6	0.00681159534725
ABHD8	0.0909701519197
ABI1	0.000721344252447
ABI2	0.0043490627096
ABI3	0.00447766517134
ABI3BP	0.000319744252269
ABL1	0.122386065657
ABL2	0.000337713049608
ABLIM1	0.0193933043856
ABLIM2	0.0175849004771
ABLIM3	0.00580758615075
ABR	0.00193421858703
ABRA	0.0740174462563
ABRACL	0.00657461434636
ABRAXAS1	0.0209555088776
ABRAXAS2	0.00238018664029
ABT1	0.893706010922
ABTB1	0.0334682253729
ABTB2	0.00323402471087
ACAA1	0.02467925383
ACAA2	0.0292062261011
ACACA	0.0835355651406
ACACB	0.0348473427987
ACAD10	0.115927445225
ACAD11	0.0338309631896
ACAD8	0.0140058041902
ACAD9	0.366081780995
ACADL	0.0285280775014
ACADM	0.0180100512973
ACADS	0.0327067446651
ACADSB	0.111822801694
ACADVL	0.0449533244918
ACAN	0.0418172877153
ACAP1	0.0210742881707
ACAP2	0.0020257883047
