Sample	Bowtie 2_mqc-generalstats-bowtie_2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
13266_H3K27ac	98.22	55.005494195562555	48.0	101.0	9.090909090909092	111807518.0
13266_input	91.76	85.44053990173097	43.0	51.0	9.090909090909092	41946353.0
13848_H3K27ac	99.43	28.774410212626947	50.0	51.0	9.090909090909092	95949379.0
13848_input	98.99	6.234788301981169	43.0	51.0	0.0	36971437.0
14121_H3K27ac	99.07	52.30132176317863	48.0	101.0	9.090909090909092	73638857.0
14121_input	99.18	88.61188583667419	38.0	51.0	18.181818181818183	29082311.0
19121_H3K27ac	98.56	32.89059293598271	47.0	51.0	0.0	113110452.0
19121_input	98.94	13.471377052478147	41.0	51.0	0.0	50456821.0
3023_H3K27ac	99.54	26.30420254619979	53.0	51.0	9.090909090909092	85262352.0
3023_input	99.04	5.4792283764485035	45.0	51.0	0.0	31409999.0
33173_H3K27ac	97.29	43.25639729539796	48.0	51.0	0.0	114569774.0
33173_input	98.7	10.866760164607541	41.0	51.0	0.0	33857787.0
40507_H3K27ac	98.09	52.50747348937539	50.0	101.0	18.181818181818183	139063177.0
40507_input	99.03	10.861255693775163	40.0	51.0	0.0	36817712.0
51852_H3K27ac	99.18	16.381854260059896	47.0	101.0	0.0	67891164.0
51852_input	98.49	53.32171509269462	53.0	51.0	18.181818181818183	36686224.0
53687_H3K27ac	99.43	23.281933555231035	46.0	101.0	0.0	80060630.0
53687_input	99.12	8.4297482036867	40.0	51.0	0.0	29407310.0
56413_H3K27ac	99.33	45.84736272276262	51.0	51.0	9.090909090909092	90901261.0
56413_input	98.66	7.97217260773229	43.0	51.0	0.0	33064162.0
57054_H3K27ac	99.54	12.67824999529968	46.0	101.0	0.0	65016909.0
57054_input	98.83	10.628497197046684	39.0	51.0	0.0	53173584.0
57294_H3K27ac	99.28	23.69437680751487	47.0	101.0	0.0	50152248.0
57294_input	98.69	34.3330627134346	41.0	51.0	0.0	42977193.0
58215_H3K27ac	99.42	30.760491254047224	50.0	51.0	0.0	104624732.0
58215_input	99.13	7.024116426999683	45.0	51.0	9.090909090909092	31920068.0
