143.258	chr18	76340000	76460000	+	chr20	57700000	58220000	-	10kb
783.964	chr14	35700000	35830000	-	chr21	38500000	38780000	-	10kb
263.501	chr14	35440000	35700000	+	chr21	41450000	41500000	+	10kb
42.1859	chr11	121470000	121540000	+	chr2	225460000	225470000	-	10kb
53.9424	chr2	214130000	214170000	+	chr3	24710000	24760000	-	10kb
31.5064	chr4	69820000	69840000	-	chr9	98020000	98080000	-	10kb
33.7395	chr4	73080000	73160000	-	chr9	93280000	93290000	-	10kb
45.5697	chr13	99170000	99200000	-	chr1	201820000	201900000	+	10kb
31.5277	chr1	205540000	205600000	-	chr6	110450000	110470000	-	10kb
328.386	chr10	96720000	97030000	-	chr20	20790000	20840000	-	10kb
1371.93	chr11	104000000	105800000	+	chr2	198300000	199800000	-	100kb
287.158	chr11	120500000	121500000	+	chr2	223900000	224500000	+	100kb
542.275	chr11	123000000	123700000	-	chr3	25400000	27200000	-	100kb
1177.81	chr11	118500000	118900000	-	chr6	160900000	162900000	+	100kb
2865.34	chr2	226000000	227300000	-	chr6	165300000	166400000	-	100kb
1178.44	chr3	25400000	27300000	-	chr6	163100000	163400000	-	100kb
208.303	chr13	99400000	100600000	-	chr1	151000000	151300000	-	100kb
853.773	chr13	21400000	22900000	-	chr6	168600000	169800000	-	100kb
754.075	chr13	42100000	42800000	-	chr6	165600000	166400000	+	100kb
180.229	chr10	106100000	107800000	-	chr20	30900000	31500000	+	100kb
375.551	chr8	45000000	47100000	+	chr20	30400000	31500000	+	100kb
74.945	chr8	46100000	46900000	-	chr20	42100000	42500000	+	100kb
430.001	chr11	123000000	134000000	-	chr3	75000000	91000000	+	1Mb
1398.15	chr8	46000000	80000000	-	chr10	104000000	111000000	-	1Mb
173.334	chr13	53000000	60000000	+	chr6	152000000	164000000	-	1Mb
161.433	chr1	208000000	219000000	+	chr6	96000000	106000000	-	1Mb
91.2972	chr1	75460000	75560000	+	chr1	79350000	79420000	+	10kb
70.0048	chrY	19420000	19550000	-	chrY	20630000	20660000	-	10kb
328.899	chr10	5970000	6090000	-	chr10	96630000	96720000	-	10kb
36.3707	chr16	34500000	34600000	-	chr16	48600000	49400000	-	100kb
53.8291	chr5	59000000	59200000	+	chr5	172400000	173000000	+	100kb
35.9442	chr2	72700000	72900000	-	chr2	188200000	188600000	+	100kb
77.1269	chr13	41700000	42200000	-	chr13	88800000	89200000	+	100kb
69.9005	chr13	20000000	20400000	+	chr13	39600000	40000000	+	100kb
61.2957	chr13	58900000	59300000	-	chr13	106800000	107200000	-	100kb
41.7082	chr13	36400000	36800000	-	chr13	95300000	95500000	-	100kb
35.1495	chr13	36900000	37000000	-	chr13	104900000	105100000	+	100kb
44.269	chr1	143500000	143700000	-	chr1	152600000	153300000	-	100kb
34.2858	chr1	143500000	143700000	+	chr1	157400000	159000000	-	100kb
229.383	chr19	36300000	37800000	+	chr19	43800000	44500000	-	100kb
30.3877	chr19	36200000	37700000	+	chr19	56400000	56600000	+	100kb
35.9074	chrY	13000000	14600000	+	chrY	15500000	17400000	-	100kb
37.2607	chr10	25500000	26700000	-	chr10	39100000	39400000	-	100kb
60.1504	chr7	56100000	58100000	+	chr7	60900000	62400000	+	100kb
54.7209	chr11	54500000	55800000	+	chr11	87500000	87900000	-	100kb
