82.3663	chr5	73010000	73500000	-	chr3	73080000	73100000	-	10kb
387.738	chr5	69030000	69300000	+	chr3	68970000	69060000	+	10kb
306.152	chr16	4450000	4700000	+	chr8	41510000	41550000	-	10kb
101.654	chr3	79630000	79750000	+	chr9	92030000	92080000	+	10kb
76.1379	chr3	79510000	79550000	-	chr9	91730000	91970000	-	10kb
83.162	chr2	73650000	73770000	-	chr3	28290000	28340000	-	10kb
203.7	chr5	41000000	66000000	-	chr3	16000000	38000000	+	1Mb
530.895	chr2	49000000	61000000	+	chr3	74000000	91000000	+	1Mb
34.7065	chr2	240000000	242000000	-	chr20	6000000	8000000	+	1Mb
37.7088	chr9	136000000	138000000	+	chr20	6000000	8000000	-	1Mb
38.1924	chr16	4950000	4960000	-	chr16	71350000	71580000	+	10kb
30.9343	chr3	123820000	124100000	+	chr3	156380000	156400000	+	10kb
96.2044	chr3	121600000	121880000	-	chr3	156140000	156170000	-	10kb
45.2413	chr3	119100000	119500000	+	chr3	155900000	156200000	-	100kb
93.2473	chrY	13500000	15700000	+	chrY	16500000	17400000	-	100kb
56.2602	chr7	56100000	58100000	+	chr7	60900000	62400000	+	100kb
112.09	chr1	143500000	143700000	-	chr1	157300000	159600000	-	100kb
107.012	chr1	143500000	143700000	-	chr1	152300000	153300000	+	100kb
40.2325	chr10	25500000	26600000	+	chr10	38300000	39400000	+	100kb
71.1679	chr11	50700000	55400000	+	chr11	87400000	88000000	+	100kb
