54.7378	chr14	72470000	72870000	+	chr4	157730000	157980000	-	10kb
86.9914	chr14	73000000	73120000	-	chr4	154870000	154930000	+	10kb
203.061	chr2	112720000	112800000	+	chr4	125470000	125630000	+	10kb
180.728	chr2	114600000	115180000	+	chr4	125340000	125380000	-	10kb
64.821	chr13	30670000	30940000	+	chr11	32280000	32310000	+	10kb
79.8453	chr13	19300000	19700000	+	chr11	32600000	33000000	-	100kb
53.1023	chrY	14440000	14540000	+	chrY	16640000	16730000	+	10kb
68.1705	chr2	115400000	115800000	-	chr2	127200000	127500000	-	100kb
41.6255	chr1	125100000	143700000	+	chr1	152100000	153100000	+	100kb
31.3637	chr1	125100000	143700000	+	chr1	157500000	159000000	-	100kb
30.1615	chr7	56200000	58100000	+	chr7	60900000	62400000	+	100kb
