30.3345	chr12	129270000	129310000	+	chr7	138220000	138270000	+	10kb
34.6459	chr12	108120000	108180000	-	chr7	113720000	113740000	-	10kb
33.8501	chr12	129900000	129920000	+	chr7	107850000	107930000	+	10kb
40.1658	chr4	27350000	27450000	+	chr3	77440000	77460000	+	10kb
225.654	chr19	36300000	37800000	+	chr19	43800000	44500000	+	100kb
323.791	chr13	30100000	30600000	-	chr13	73700000	75300000	-	100kb
104.561	chr1	143500000	143700000	+	chr1	152400000	153400000	-	100kb
123.453	chrY	13500000	15300000	+	chrY	16000000	17400000	-	100kb
52.3704	chr7	56200000	58100000	+	chr7	60900000	62400000	+	100kb
72.4731	chr12	106100000	106300000	+	chr12	130000000	130500000	+	100kb
