File	Read_pairs_processed	Unique_di-tags	Cis_<10kbp_of_uniques	Cis_>10kbp_of_uniques	Trans_of_uniques
PCa13266_R1_2.filt.bam	177079291	155394460	2883217	60939709	91571534
PCa13848_R1_2.filt.bam	109965387	99141314	4178354	48785703	46177257
PCa14121_R1_2.filt.bam	189256100	163022504	2233508	54711491	106077505
PCa19121_R1_2.filt.bam	162619541	143635667	2779848	58155733	82700086
PCa3023_R1_2.filt.bam	122491697	109118336	2709036	47827202	58582098
PCa33173_R1_2.filt.bam	136581460	121255508	3101253	62638610	55515645
PCa40507_R1_2.filt.bam	130050287	112642199	1824614	40973335	69844250
PCa51852_R1_2.filt.bam	172040108	151667759	1946680	48768559	100952520
PCa53687_R1_2.filt.bam	139013322	122463185	2956684	49032648	70473853
PCa56413_R1_2.filt.bam	120683321	105626491	2444221	46413728	56768542
PCa57294_R1_2.filt.bam	156229865	134879669	2170634	55226272	77482763
PCa58215_R1_2.filt.bam	132137050	116543572	2823985	51088031	62631556
