chr2	137200000	137800000	chr2	142800000	143100000	.	68.0965	+	-	100kb	
chr2	138770000	138800000	chr2	155200000	155320000	.	75.3276	+	-	10kb	
chr2	142730000	142790000	chr2	153840000	153900000	.	61.9988	+	+	10kb	
chr3	63890000	64000000	chr3	73860000	73900000	.	78.311	+	-	10kb	
chr4	16250000	16280000	chr4	95140000	95460000	.	180.155	+	-	10kb	
chr4	16300000	17500000	chr4	97700000	98200000	.	362.292	-	-	100kb	
chr4	114700000	115000000	chr4	119000000	120100000	.	115.288	+	-	100kb	
chr4	115010000	115150000	chr4	133420000	133450000	.	148.436	-	-	10kb	
chr4	115480000	115660000	chr4	133440000	133480000	.	128.318	+	-	10kb	
chr4	118600000	119000000	chr4	125200000	125800000	.	122.832	-	+	100kb	
chr4	118900000	119000000	chr4	133400000	135000000	.	75.1984	-	-	100kb	
chr5	42300000	42340000	chr5	94600000	94670000	.	56.0765	-	-	10kb	
chr6	76240000	76300000	chr6	97900000	97960000	.	62.7941	-	-	10kb	
chr8	48300000	49000000	chr8	64700000	65600000	.	427.815	-	-	100kb	
chr8	49000000	49600000	chr8	59900000	60200000	.	104.704	+	+	100kb	
chr8	51830000	52040000	chr8	65620000	65650000	.	92.0457	-	-	10kb	
chr8	144400000	145000000	chr10	35000000	37100000	.	1653.22	-	-	100kb	
chr10	54800000	55300000	chr10	92500000	93100000	.	117.534	+	-	100kb	
chr10	80120000	80170000	chr10	110200000	110300000	.	101.78	+	-	10kb	
chr10	101200000	101400000	chr10	108500000	109300000	.	82.202	-	+	100kb	
chr12	50900000	51400000	chr12	110400000	110700000	.	79.8761	-	-	100kb	
chr12	111170000	111220000	chr17	16040000	16210000	.	155.128	+	+	10kb	
chr16	60200000	62600000	chr8	48300000	49600000	.	4906.4	+	+	100kb	
chr16	61000000	62600000	chr8	64700000	65600000	.	2753.93	+	-	100kb	
chr16	61700000	62500000	chr8	58700000	60200000	.	324.294	+	+	100kb	
chr16	5300000	8400000	chr16	34000000	34200000	.	138.846	-	+	100kb	
chr17	51000000	56000000	chr10	18000000	28000000	.	158.356	-	+	1Mb	
chr17	78930000	79000000	chr10	34650000	34980000	.	465.235	+	-	10kb	
chr19	36300000	37900000	chr19	43800000	44500000	.	310.097	-	+	100kb	
chrY	13500000	15400000	chrY	16500000	17400000	.	101.031	+	-	100kb	
