SampleID	p	FDR
PCa13266	0.040959040959041	0.266733266733267
PCa13848	0.823176823176823	0.984015984015984
PCa14121	0.0779220779220779	0.266733266733267
PCa19121	0.946053946053946	0.984015984015984
PCa3023	0.0639360639360639	0.266733266733267
PCa33173	0.634365634365634	0.984015984015984
PCa40507	0.701298701298701	0.984015984015984
PCa51852	0.984015984015984	0.984015984015984
PCa53687	0.817182817182817	0.984015984015984
PCa56413	0.224775224775225	0.539460539460539
PCa57294	0.927072927072927	0.984015984015984
PCa58215	0.0889110889110889	0.266733266733267
