chr14	34561092	34630160	SNX6	.	-	ENSG00000129515.20
chr14	34709112	34714823	CFL2	.	-	ENSG00000165410.15
chr14	34752730	34875647	BAZ1A	.	-	ENSG00000198604.11
chr14	34981956	35029567	SRP54	.	+	ENSG00000100883.12
chr14	35044906	35113130	FAM177A1	.	+	ENSG00000151327.12
chr14	35085466	35122517	PPP2R3C	.	-	ENSG00000092020.10
chr14	35121845	35277622	PRORP	.	+	ENSG00000100890.16
chr14	35122548	35317474	AL121594.1	.	+	ENSG00000258790.1
chr14	35278632	35317493	PSMA6	.	+	ENSG00000100902.11
chr14	35401510	35404749	NFKBIA	.	-	ENSG00000100906.10
chr14	35534163	35537054	INSM2	.	+	ENSG00000168348.4
chr14	35538351	35809304	RALGAPA1	.	-	ENSG00000174373.16
chr14	35826337	35840000	BRMS1L	.	+	ENSG00000100916.14
chr21	35440000	36004667	RUNX1	.	-	ENSG00000159216.18
chr21	36034540	36079389	SETD4	.	-	ENSG00000185917.13
chr21	36069940	36073166	CBR1	.	+	ENSG00000159228.13
chr21	36135078	36146562	CBR3	.	+	ENSG00000159231.6
chr21	36156781	36294274	DOP1B	.	+	ENSG00000142197.12
chr21	36320188	36386148	MORC3	.	+	ENSG00000159256.13
chr21	36385391	36419015	CHAF1B	.	+	ENSG00000159259.8
chr21	36460620	36576569	CLDN14	.	-	ENSG00000159261.12
chr21	36699114	36749917	SIM2	.	+	ENSG00000159263.16
chr21	36750887	36990236	HLCS	.	-	ENSG00000159267.14
chr21	37006149	37019662	RIPPLY3	.	+	ENSG00000183145.9
chr21	37059169	37073170	PIGP	.	-	ENSG00000185808.13
chr21	37073225	37203112	TTC3	.	+	ENSG00000182670.13
chr21	37223419	37267919	VPS26C	.	-	ENSG00000157538.14
chr21	37365572	37526358	DYRK1A	.	+	ENSG00000157540.21
chr21	37607372	38121345	KCNJ6	.	-	ENSG00000157542.11
chr21	38155548	38307357	KCNJ15	.	+	ENSG00000157551.19
chr21	38380026	38661780	ERG	.	-	ENSG00000157554.19
chr21	38805182	38824955	ETS2	.	+	ENSG00000157557.13
chr21	39174768	39183488	PSMG1	.	-	ENSG00000183527.12
chr21	39184175	39321559	BRWD1	.	-	ENSG00000185658.13
chr21	39342314	39349647	HMGN1	.	-	ENSG00000205581.11
chr21	39377697	39428528	GET1	.	+	ENSG00000182093.16
chr21	39380331	39515506	WRB-SH3BGR	.	+	ENSG00000285815.1
chr21	39405843	39445805	LCA5L	.	-	ENSG00000157578.13
chr21	39445854	39515506	SH3BGR	.	+	ENSG00000185437.13
chr21	39556441	39673137	B3GALT5	.	+	ENSG00000183778.17
chr21	39745406	39802096	IGSF5	.	+	ENSG00000183067.5
chr21	39867437	39929397	PCP4	.	+	ENSG00000183036.11
chr21	40010998	40847158	DSCAM	.	-	ENSG00000171587.15
chr21	41167800	41282530	BACE2	.	+	ENSG00000182240.16
chr21	41304211	41357727	FAM3B	.	+	ENSG00000183844.17
chr21	41361998	41409393	MX2	.	+	ENSG00000183486.13
chr21	41420303	41459214	MX1	.	+	ENSG00000157601.14
chr21	41464304	41500000	TMPRSS2	.	-	ENSG00000184012.12
