Module	Section	Sample Name	Source
HiCUP	all_sections	Benign-Prostate-3320942	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/HiCUP_summary_report_Benign-Prostate-3320942.txt
HiCUP	all_sections	Benign-Prostate-1664855	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/HiCUP_summary_report_Benign-Prostate-1664855.txt
HiCUP	all_sections	Benign-Prostate-1595983	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/HiCUP_summary_report_Benign-Prostate-1595983.txt
HiCUP	all_sections	Benign-Prostate-1648133	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/HiCUP_summary_report_Benign-Prostate-1648133.txt
HiCUP	all_sections	Benign-Prostate-3330581	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/HiCUP_summary_report_Benign-Prostate-3330581.txt
FastQC	all_sections	Benign-Prostate-1595983_L001_R2	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/Benign-Prostate-1595983_L001_R2_fastqc.zip
FastQC	all_sections	Benign-Prostate-3330581_L001_R1	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/Benign-Prostate-3330581_L001_R1_fastqc.zip
FastQC	all_sections	Benign-Prostate-3330581_L002_R2	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/Benign-Prostate-3330581_L002_R2_fastqc.zip
FastQC	all_sections	Benign-Prostate-1648133_L001_R2	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/Benign-Prostate-1648133_L001_R2_fastqc.zip
FastQC	all_sections	Benign-Prostate-3320942_L002_R1	/mnt/work1/users/lupiengroup/People/hawleyj/Davos/Data/Raw/191213_A00827_0097_BHMV2YDMXX_HiC/Reports/Benign-Prostate-3320942_L002_R1_fastqc.zip
