chr	start	end	binNum	observed	expected	log2CopyRatio	p
chr1	10000	120010000	11977	12453.5	11977	0.00765629376306061	0.228195
chr1	120010000	122500000	245	101.172	245	-1.32460006030515	1.38484e-93
chr1	143290000	145180000	189	52.0037	189	-1.91032843749906	5.3732e-174
chr1	145180000	248956422	10370	10558.9	10370	-0.0225847294666554	0.505611
chr10	10000	39570000	3952	4135.66	3952	0.0169062556130516	0.193486
chr10	39570000	41560000	195	13.235	195	-3.9296724034958	0
chr10	41560000	41920000	27	23.2124	27	-0.266692093717888	0.0366656
chr10	42060000	42290000	23	192.76	23	3.01847155833299	9.57507e-96
chr10	42290000	133797422	9139	8942.58	9139	-0.0799735744202511	0.674106
chr11	60000	51430000	5113	5289.39	5113	0.00030294534939658	0.275982
chr11	51430000	54540000	302	113.747	302	-1.4573484350502	7.31335e-76
chr11	54540000	135086622	8044	8482.42	8044	0.0279344554538797	0.162416
chr12	10000	34840000	3479	3574.21	3479	-0.00967665908637303	0.36852
chr12	34840000	35510000	67	3.95918	67	-4.12951591012055	0
chr12	35510000	35540000	3	24.4182	3	2.97629406783956	1.36928e-17
chr12	35540000	37260000	168	31.8178	168	-2.44918362285882	1.17402e-249
chr12	37260000	133275309	9602	10148.3	9602	0.0312028509555704	0.121434
chr13	16000000	17470000	147	675.314	147	2.15111392985128	2.51706e-228
chr13	17470000	114364328	9659	9871.75	9659	-0.0171963564685416	0.411654
chr14	16000000	16410000	41	23.4566	41	-0.854258379095061	3.29373e-20
chr14	16410000	18180000	177	0	177	-33.2679093304661	0
chr14	18220000	107043718	8845	9132.6	8845	-0.0024648784952129	0.360587
chr15	17000000	18400000	140	41.5814	140	-1.80004497019521	3.5689e-16
chr15	18400000	18410000	1	33.1636	1	5.00290033714863	0.000186071
chr15	18410000	19640000	123	5.01667	123	-4.66441284364226	0
chr15	19640000	20430000	75	121.085	75	0.642429272932118	7.16916e-17
chr15	20430000	22220000	168	26.8544	168	-2.69385922044088	1.44753e-283
