chr_x	start_x	end_x	chr_y	start_y	end_y	fdr	detection_scale
chr1	2810000	2820000	chr1	3420000	3430000	0.15813485155384993	2.111212657236631
chr1	3470000	3480000	chr1	3610000	3620000	0.16316158171173015	2.599207668339954
chr1	6720000	6730000	chr1	7200000	7210000	0.15813485155384993	2.111212657236631
chr1	7990000	8000000	chr1	8320000	8330000	0.15813485155384993	2.599207668339954
chr1	9280000	9290000	chr1	9480000	9490000	0.16316158171173015	2.599207668339954
chr1	10510000	10520000	chr1	10860000	10870000	0.17888200649565295	2.599207668339954
chr1	11040000	11050000	chr1	11630000	11640000	0.17888200649565295	2.111212657236631
chr1	12290000	12300000	chr1	12640000	12650000	0.16316158171173015	4.222425314473262
chr1	15130000	15140000	chr1	15280000	15290000	0.16316158171173015	2.599207668339954
chr1	18590000	18600000	chr1	18820000	18830000	0.16316158171173015	3.6758347359905126
chr1	18900000	18910000	chr1	19090000	19100000	0.18576253061915068	2.599207668339954
chr1	19350000	19360000	chr1	19650000	19660000	0.16316158171173015	2.599207668339954
chr1	20690000	20700000	chr1	21190000	21200000	0.12597936685195832	2.111212657236631
chr1	21240000	21250000	chr1	21360000	21370000	0.011931982219879123	2.111212657236631
chr1	22420000	22430000	chr1	22640000	22650000	0.12597936685195832	2.599207668339954
chr1	24690000	24700000	chr1	24830000	24840000	0.1252002547139997	2.111212657236631
chr1	28880000	28890000	chr1	29020000	29030000	0.08455095937930912	2.111212657236631
chr1	29240000	29250000	chr1	30690000	30700000	0.1252002547139997	3.2
chr1	30800000	30810000	chr1	30910000	30920000	0.1252002547139997	2.111212657236631
chr1	31180000	31190000	chr1	31330000	31340000	0.1252002547139997	2.599207668339954
chr1	33660000	33670000	chr1	34580000	34590000	0.12597936685195832	2.111212657236631
chr1	36520000	36530000	chr1	37420000	37430000	0.1252002547139997	3.2
chr1	38020000	38030000	chr1	38820000	38830000	0.05455210010926932	3.2
chr1	41270000	41280000	chr1	41400000	41410000	0.05455210010926932	2.111212657236631
chr1	43230000	43240000	chr1	43400000	43410000	0.1507450988561039	4.222425314473262
