INFO:cooler.cli.balance:Balancing "Contacts/Benign-Prostate-3330581.cool"
INFO:cooler.balance:variance is 12453.027088961611
INFO:cooler.balance:variance is 1743.9186926610355
INFO:cooler.balance:variance is 398.4631730098927
INFO:cooler.balance:variance is 386.04699625967106
INFO:cooler.balance:variance is 138.20855109000576
INFO:cooler.balance:variance is 108.09417844821773
INFO:cooler.balance:variance is 47.16730369263896
INFO:cooler.balance:variance is 32.26547964565431
INFO:cooler.balance:variance is 15.760031783215911
INFO:cooler.balance:variance is 9.96251581345686
INFO:cooler.balance:variance is 5.191137921706835
INFO:cooler.balance:variance is 3.1341412009758653
INFO:cooler.balance:variance is 1.694465594076579
INFO:cooler.balance:variance is 0.9962715897328913
INFO:cooler.balance:variance is 0.5500520980034963
INFO:cooler.balance:variance is 0.31852789342926846
INFO:cooler.balance:variance is 0.1779701568628741
INFO:cooler.balance:variance is 0.10216887509168843
INFO:cooler.balance:variance is 0.057471660886139656
INFO:cooler.balance:variance is 0.03283026889131841
INFO:cooler.balance:variance is 0.018538504997854876
INFO:cooler.balance:variance is 0.010560170479317836
INFO:cooler.balance:variance is 0.005976071061399851
INFO:cooler.balance:variance is 0.0033987211096515335
INFO:cooler.balance:variance is 0.0019257335848772955
INFO:cooler.balance:variance is 0.0010942086141328574
INFO:cooler.balance:variance is 0.0006204186330017683
INFO:cooler.balance:variance is 0.00035234155681944303
INFO:cooler.balance:variance is 0.00019985779368261562
INFO:cooler.balance:variance is 0.00011346774090445026
INFO:cooler.balance:variance is 6.43765251718643e-05
INFO:cooler.balance:variance is 3.654318009492553e-05
INFO:cooler.balance:variance is 2.073562005041058e-05
INFO:cooler.balance:variance is 1.1769409458684168e-05
INFO:cooler.balance:variance is 6.6787763337431875e-06
