INFO:cooler.cli.balance:Balancing "Contacts/Benign-Prostate-1664855.cool"
INFO:cooler.balance:variance is 7554.210549755761
INFO:cooler.balance:variance is 1596.2246918424478
INFO:cooler.balance:variance is 365.6440992840987
INFO:cooler.balance:variance is 334.3948393844217
INFO:cooler.balance:variance is 115.34744171492201
INFO:cooler.balance:variance is 84.75289300094398
INFO:cooler.balance:variance is 35.81299058452223
INFO:cooler.balance:variance is 23.03542139321248
INFO:cooler.balance:variance is 10.902096318447612
INFO:cooler.balance:variance is 6.499936997970667
INFO:cooler.balance:variance is 3.274565707549038
INFO:cooler.balance:variance is 1.8713602813200907
INFO:cooler.balance:variance is 0.9754682147872239
INFO:cooler.balance:variance is 0.5445881874618593
INFO:cooler.balance:variance is 0.2891815620233232
INFO:cooler.balance:variance is 0.1593906681661037
INFO:cooler.balance:variance is 0.08549246679896472
INFO:cooler.balance:variance is 0.046793136816830706
INFO:cooler.balance:variance is 0.025235435364292493
INFO:cooler.balance:variance is 0.013759721640977345
INFO:cooler.balance:variance is 0.007442502762219062
INFO:cooler.balance:variance is 0.004049645734975989
INFO:cooler.balance:variance is 0.0021939188113266855
INFO:cooler.balance:variance is 0.001192419006344783
INFO:cooler.balance:variance is 0.0006465599892885097
INFO:cooler.balance:variance is 0.00035119729949501714
INFO:cooler.balance:variance is 0.00019051769574822216
INFO:cooler.balance:variance is 0.0001034506599712169
INFO:cooler.balance:variance is 5.6134294141027746e-05
INFO:cooler.balance:variance is 3.0475291522421168e-05
INFO:cooler.balance:variance is 1.6538764627665976e-05
INFO:cooler.balance:variance is 8.97801209393673e-06
