chr	from.id	from.coord	to.id	to.coord	tag	size
chr20	1	40000	1	80000	gap	40000
chr20	2	80000	19	800000	domain	720000
chr20	20	800000	38	1560000	domain	760000
chr20	39	1560000	39	1600000	gap	40000
chr20	40	1600000	61	2480000	domain	880000
chr20	62	2480000	75	3040000	domain	560000
chr20	76	3040000	90	3640000	domain	600000
chr20	91	3640000	104	4200000	domain	560000
chr20	105	4200000	114	4600000	domain	400000
chr20	115	4600000	130	5240000	domain	640000
chr20	131	5240000	136	5480000	boundary	240000
chr20	137	5480000	152	6120000	domain	640000
chr20	153	6120000	182	7320000	domain	1200000
chr20	183	7320000	197	7920000	domain	600000
chr20	198	7920000	217	8720000	domain	800000
chr20	218	8720000	234	9400000	domain	680000
chr20	235	9400000	239	9600000	boundary	200000
chr20	240	9600000	261	10480000	domain	880000
chr20	262	10480000	288	11560000	domain	1080000
chr20	289	11560000	321	12880000	domain	1320000
chr20	322	12880000	344	13800000	domain	920000
chr20	345	13800000	352	14120000	domain	320000
chr20	353	14120000	377	15120000	domain	1000000
chr20	378	15120000	378	15160000	gap	40000
chr20	379	15160000	412	16520000	domain	1360000
chr20	413	16520000	419	16800000	domain	280000
chr20	420	16800000	436	17480000	domain	680000
chr20	437	17480000	450	18040000	domain	560000
chr20	451	18040000	457	18320000	domain	280000
chr20	458	18320000	464	18600000	boundary	280000
chr20	465	18600000	491	19680000	domain	1080000
chr20	492	19680000	500	20040000	boundary	360000
chr20	501	20040000	514	20600000	domain	560000
chr20	515	20600000	520	20840000	domain	240000
chr20	521	20840000	539	21600000	domain	760000
chr20	540	21600000	556	22280000	domain	680000
chr20	557	22280000	592	23720000	domain	1440000
chr20	593	23720000	593	23760000	gap	40000
chr20	594	23760000	622	24920000	domain	1160000
chr20	623	24920000	643	25760000	domain	840000
chr20	644	25760000	780	31240000	gap	5480000
chr20	781	31240000	793	31760000	domain	520000
chr20	794	31760000	801	32080000	domain	320000
chr20	802	32080000	812	32520000	domain	440000
chr20	813	32520000	816	32680000	boundary	160000
chr20	817	32680000	819	32800000	boundary	120000
chr20	820	32800000	833	33360000	domain	560000
chr20	834	33360000	853	34160000	domain	800000
chr20	854	34160000	869	34800000	domain	640000
chr20	870	34800000	885	35440000	domain	640000
chr20	886	35440000	898	35960000	domain	520000
chr20	899	35960000	903	36160000	boundary	200000
chr20	904	36160000	928	37160000	domain	1000000
chr20	929	37160000	938	37560000	domain	400000
chr20	939	37560000	960	38440000	domain	880000
chr20	961	38440000	972	38920000	boundary	480000
chr20	973	38920000	976	39080000	boundary	160000
chr20	977	39080000	996	39880000	domain	800000
chr20	997	39880000	1023	40960000	domain	1080000
chr20	1024	40960000	1027	41120000	domain	160000
chr20	1028	41120000	1034	41400000	domain	280000
chr20	1035	41400000	1042	41720000	domain	320000
chr20	1043	41720000	1084	43400000	domain	1680000
chr20	1085	43400000	1102	44120000	domain	720000
chr20	1103	44120000	1116	44680000	domain	560000
chr20	1117	44680000	1122	44920000	boundary	240000
chr20	1123	44920000	1144	45800000	domain	880000
chr20	1145	45800000	1167	46720000	domain	920000
chr20	1168	46720000	1194	47800000	domain	1080000
chr20	1195	47800000	1195	47840000	gap	40000
chr20	1196	47840000	1211	48480000	domain	640000
chr20	1212	48480000	1212	48520000	gap	40000
chr20	1213	48520000	1230	49240000	domain	720000
chr20	1231	49240000	1248	49960000	domain	720000
chr20	1249	49960000	1251	50080000	boundary	120000
chr20	1252	50080000	1269	50800000	domain	720000
chr20	1270	50800000	1273	50960000	boundary	160000
chr20	1274	50960000	1304	52200000	domain	1240000
chr20	1305	52200000	1338	53560000	domain	1360000
chr20	1339	53560000	1351	54080000	domain	520000
chr20	1352	54080000	1365	54640000	domain	560000
chr20	1366	54640000	1405	56240000	domain	1600000
chr20	1406	56240000	1408	56360000	boundary	120000
chr20	1409	56360000	1426	57080000	domain	720000
chr20	1427	57080000	1433	57360000	domain	280000
chr20	1434	57360000	1439	57600000	boundary	240000
chr20	1440	57600000	1455	58240000	domain	640000
chr20	1456	58240000	1488	59560000	domain	1320000
chr20	1489	59560000	1493	59760000	boundary	200000
chr20	1494	59760000	1557	62320000	domain	2560000
chr20	1558	62320000	1558	62360000	gap	40000
chr20	1559	62360000	1575	63040000	domain	680000
chr20	1576	63040000	1594	63800000	domain	760000
chr20	1595	63800000	1595	63840000	gap	40000
chr20	1596	63840000	1606	64280000	domain	440000
chr20	1607	64280000	1608	64360000	gap	80000
