chr	start	end	persistence_left	persistence_right	type	w
chr1	40000	880000	21	21	gap	23
chr1	880000	1040000	21	21	domain	23
chr1	1040000	1080000	21	21	gap	23
chr1	1080000	1480000	21	21	domain	23
chr1	1480000	1760000	21	21	gap	23
chr1	1760000	2640000	21	21	domain	23
chr1	2640000	2760000	21	21	gap	23
chr1	2760000	3920000	21	21		23
chr1	3920000	5960000	21	21	domain	23
chr1	5960000	6480000	21	21	boundary,domain	23
chr1	6480000	6680000	21	21	boundary,domain	23
chr1	6680000	7920000	21	21	domain	23
chr1	7920000	8360000	21	21		23
chr1	8360000	8880000	21	21	boundary,domain	23
chr1	8880000	9600000	21	21	boundary,domain	23
chr1	9600000	10440000	21	20		23
chr1	10440000	11000000	20	21	domain	23
chr1	11000000	11240000	21	15	boundary,domain	23
chr1	11240000	11800000	15	13		23
chr1	11800000	12840000	13	21		23
chr1	12840000	13360000	21	21	gap	23
chr1	13360000	15120000	21	21	domain	23
chr1	15120000	15320000	21	18	boundary,domain	23
chr1	15320000	15520000	18	21	boundary,domain	23
chr1	15520000	16480000	21	21		23
chr1	16480000	16880000	21	21	gap	23
chr1	16880000	18880000	21	21		23
chr1	18880000	19080000	21	18		23
chr1	19080000	19720000	18	8	domain	23
chr1	19720000	19880000	8	21		23
chr1	19880000	20200000	21	9	boundary,domain	23
chr1	20200000	21400000	9	21	domain	23
chr1	21400000	21440000	21	21	gap	23
chr1	21440000	21960000	21	21	domain	23
chr1	21960000	22000000	21	21	gap	23
chr1	22000000	22960000	21	21	domain	23
chr1	22960000	23280000	21	20	boundary,domain	23
chr1	23280000	23520000	20	15	boundary,domain	23
chr1	23520000	23720000	15	21		23
chr1	23720000	24040000	21	21		23
chr1	24040000	25280000	21	21		23
chr1	25280000	25440000	21	21	gap	23
chr1	25440000	26480000	21	21		23
chr1	26480000	26920000	21	21	boundary,domain	23
chr1	26920000	27280000	21	21	boundary,domain	23
chr1	27280000	27800000	21	20	boundary,domain	23
