chr	start	end	persistence_left	persistence_right	type	w
chr1	40000	880000	18	18	gap	20
chr1	880000	1640000	18	18	domain	20
chr1	1640000	1760000	18	18	gap	20
chr1	1760000	2640000	18	18	domain	20
chr1	2640000	2760000	18	18	gap	20
chr1	2760000	3920000	18	18		20
chr1	3920000	6000000	18	17	domain	20
chr1	6000000	6200000	17	4	boundary,domain	20
chr1	6200000	6440000	4	18		20
chr1	6440000	6680000	18	17		20
chr1	6680000	7920000	17	18		20
chr1	7920000	8320000	18	18	boundary,domain	20
chr1	8320000	8880000	18	18	domain	20
chr1	8880000	9600000	18	18	boundary,domain	20
chr1	9600000	10440000	18	18	domain	20
chr1	10440000	11000000	18	18	domain	20
chr1	11000000	12840000	18	18	domain	20
chr1	12840000	13360000	18	18	gap	20
chr1	13360000	15120000	18	18	domain	20
chr1	15120000	15320000	18	14	boundary,domain	20
chr1	15320000	15480000	14	18	boundary,domain	20
chr1	15480000	16480000	18	18		20
chr1	16480000	16880000	18	18	gap	20
chr1	16880000	18880000	18	18		20
chr1	18880000	19120000	18	17	boundary,domain	20
chr1	19120000	19760000	17	5		20
chr1	19760000	19880000	5	18		20
chr1	19880000	20520000	18	9	domain	20
chr1	20520000	21400000	9	18		20
chr1	21400000	21440000	18	18	gap	20
chr1	21440000	22960000	18	18	domain	20
chr1	22960000	23480000	18	15	boundary,domain	20
chr1	23480000	23760000	15	18	boundary,domain	20
chr1	23760000	24040000	18	18		20
chr1	24040000	25280000	18	18	domain	20
chr1	25280000	25440000	18	18	gap	20
chr1	25440000	26440000	18	18		20
chr1	26440000	26920000	18	18	boundary,domain	20
chr1	26920000	27720000	18	14		20
chr1	27720000	28240000	14	18	boundary,domain	20
chr1	28240000	28640000	18	16	boundary,domain	20
chr1	28640000	29240000	16	18	boundary,domain	20
chr1	29240000	30720000	18	18	domain	20
chr1	30720000	30920000	18	14	boundary,domain	20
chr1	30920000	31560000	14	8	boundary,domain	20
chr1	31560000	32040000	8	16	boundary,domain	20
chr1	32040000	32360000	16	18		20
chr1	32360000	32880000	18	18	boundary,domain	20
chr1	32880000	33120000	18	18	boundary,domain	20
chr1	33120000	33480000	18	6	boundary,domain	20
chr1	33480000	34800000	6	18		20
chr1	34800000	36080000	18	18		20
chr1	36080000	36480000	18	18	boundary,domain	20
chr1	36480000	37440000	18	18	domain	20
chr1	37440000	37840000	18	9	domain	20
chr1	37840000	38840000	9	18		20
chr1	38840000	39600000	18	14	domain	20
chr1	39600000	39760000	14	18	boundary,domain	20
chr1	39760000	40040000	18	18	boundary,domain	20
chr1	40040000	40560000	18	18	boundary,domain	20
chr1	40560000	40840000	18	8	boundary,domain	20
chr1	40840000	41000000	8	14	boundary,domain	20
chr1	41000000	41240000	14	18	boundary,domain	20
chr1	41240000	41440000	18	7		20
chr1	41440000	41520000	7	18		20
chr1	41520000	42840000	18	11	domain	20
chr1	42840000	43160000	11	18		20
chr1	43160000	44080000	18	18	domain	20
chr1	44080000	44720000	18	18	domain	20
chr1	44720000	45320000	18	18	domain	20
chr1	45320000	45560000	18	16		20
chr1	45560000	46880000	16	18	domain	20
chr1	46880000	46920000	18	18	gap	20
chr1	46920000	47080000	18	18	domain	20
chr1	47080000	47120000	18	18	gap	20
chr1	47120000	48080000	18	16	domain	20
chr1	48080000	48560000	16	17		20
chr1	48560000	50360000	17	18	domain	20
chr1	50360000	50560000	18	1		20
chr1	50560000	51240000	1	18	domain	20
chr1	51240000	51880000	18	15	boundary,domain	20
chr1	51880000	52040000	15	18	boundary,domain	20
chr1	52040000	53240000	18	18	domain	20
chr1	53240000	53440000	18	11		20
chr1	53440000	53800000	11	18	domain	20
chr1	53800000	55040000	18	18		20
chr1	55040000	56840000	18	18	boundary,domain	20
chr1	56840000	58480000	18	18	domain	20
chr1	58480000	58680000	18	17		20
chr1	58680000	59840000	17	18	domain	20
chr1	59840000	60960000	18	17		20
chr1	60960000	61920000	17	16	domain	20
chr1	61920000	62120000	16	17	boundary,domain	20
chr1	62120000	62800000	17	18	domain	20
chr1	62800000	63560000	18	18	domain	20
chr1	63560000	64840000	18	12		20
chr1	64840000	66760000	12	18	boundary,domain	20
chr1	66760000	67520000	18	18	domain	20
chr1	67520000	68440000	18	17	domain	20
chr1	68440000	70080000	17	17		20
chr1	70080000	71080000	17	18	domain	20
chr1	71080000	72280000	18	18	domain	20
chr1	72280000	72360000	18	18	gap	20
chr1	72360000	72880000	18	18	domain	20
chr1	72880000	72920000	18	18	gap	20
chr1	72920000	74800000	18	18	domain	20
chr1	74800000	75080000	18	6	boundary,domain	20
chr1	75080000	75880000	6	18	domain	20
chr1	75880000	77120000	18	18	domain	20
chr1	77120000	78000000	18	10	domain	20
chr1	78000000	78120000	10	14	boundary,domain	20
chr1	78120000	78720000	14	16	domain	20
chr1	78720000	80920000	16	18	domain	20
chr1	80920000	80960000	18	18	gap	20
chr1	80960000	83120000	18	18	domain	20
chr1	83120000	83480000	18	18	gap	20
chr1	83480000	85520000	18	18	domain	20
chr1	85520000	85560000	18	18	gap	20
chr1	85560000	85720000	18	18	domain	20
chr1	85720000	85760000	18	18	gap	20
chr1	85760000	87120000	18	18	domain	20
chr1	87120000	89400000	18	18		20
chr1	89400000	89440000	18	18	gap	20
chr1	89440000	91280000	18	9	domain	20
chr1	91280000	92720000	9	17		20
chr1	92720000	93920000	17	18	domain	20
chr1	93920000	94440000	18	17	domain	20
chr1	94440000	94840000	17	18	domain	20
chr1	94840000	95080000	18	18	boundary,domain	20
chr1	95080000	95240000	18	18	boundary,domain	20
chr1	95240000	98560000	18	18	domain	20
chr1	98560000	99760000	18	17	domain	20
chr1	99760000	100920000	17	18	domain	20
chr1	100920000	101400000	18	18	domain	20
chr1	101400000	103600000	18	18		20
chr1	103600000	103880000	18	18	gap	20
chr1	103880000	104640000	18	18	domain	20
chr1	104640000	104680000	18	18	gap	20
chr1	104680000	105840000	18	9	domain	20
chr1	105840000	105960000	9	18		20
chr1	105960000	107200000	18	17	domain	20
chr1	107200000	108200000	17	18	domain	20
chr1	108200000	108480000	18	18	gap	20
chr1	108480000	109680000	18	18	domain	20
chr1	109680000	109720000	18	18	gap	20
chr1	109720000	111080000	18	16	domain	20
chr1	111080000	111440000	16	18	boundary,domain	20
chr1	111440000	112360000	18	18	domain	20
chr1	112360000	112720000	18	18	boundary,domain	20
chr1	112720000	113080000	18	18	boundary,domain	20
chr1	113080000	113840000	18	13	domain	20
chr1	113840000	114800000	13	18		20
chr1	114800000	116600000	18	18		20
chr1	116600000	116640000	18	18	gap	20
chr1	116640000	117960000	18	18	domain	20
chr1	117960000	119960000	18	18	domain	20
chr1	119960000	143560000	18	18	gap	20
chr1	143560000	143720000	18	18	domain	20
chr1	143720000	145840000	18	18	gap	20
chr1	145840000	146040000	18	18	domain	20
chr1	146040000	147040000	18	18	gap	20
chr1	147040000	147920000	18	18	domain	20
chr1	147920000	149880000	18	18	gap	20
chr1	149880000	151280000	18	11		20
chr1	151280000	152560000	11	18		20
chr1	152560000	152640000	18	18	gap	20
chr1	152640000	153480000	18	15		20
chr1	153480000	154000000	15	12		20
