chr	start	end	persistence_left	persistence_right	type	w
chr1	0	880000	21	21	gap	23
chr1	880000	1640000	21	21	domain	23
chr1	1640000	1760000	21	21	gap	23
chr1	1760000	2640000	21	21	domain	23
chr1	2640000	2760000	21	21	gap	23
chr1	2760000	3880000	21	21		23
chr1	3880000	6000000	21	21	domain	23
chr1	6000000	6440000	21	20	boundary,domain	23
chr1	6440000	6680000	20	21		23
chr1	6680000	7920000	21	21		23
chr1	7920000	8360000	21	21	boundary,domain	23
chr1	8360000	8880000	21	21	domain	23
chr1	8880000	9120000	21	5	boundary,domain	23
chr1	9120000	9600000	5	21	boundary,domain	23
chr1	9600000	9880000	21	1		23
chr1	9880000	10200000	1	7	domain	23
chr1	10200000	10440000	7	21		23
chr1	10440000	11000000	21	21	domain	23
chr1	11000000	11240000	21	16	boundary,domain	23
chr1	11240000	11800000	16	17		23
chr1	11800000	12840000	17	21		23
chr1	12840000	13360000	21	21	gap	23
chr1	13360000	15120000	21	21	domain	23
chr1	15120000	15320000	21	17	boundary,domain	23
chr1	15320000	15520000	17	21	boundary,domain	23
chr1	15520000	16520000	21	21		23
chr1	16520000	16880000	21	21	gap	23
chr1	16880000	18600000	21	20	domain	23
chr1	18600000	18880000	20	21	boundary,domain	23
chr1	18880000	19120000	21	17	boundary,domain	23
chr1	19120000	19880000	17	21	boundary,domain	23
chr1	19880000	20200000	21	7	boundary,domain	23
chr1	20200000	20520000	7	15	domain	23
chr1	20520000	21680000	15	19		23
chr1	21680000	22040000	19	21	domain	23
chr1	22040000	22960000	21	21	domain	23
chr1	22960000	23520000	21	13	boundary,domain	23
chr1	23520000	23680000	13	16		23
chr1	23680000	23760000	16	11		23
chr1	23760000	24080000	11	20	boundary	23
chr1	24080000	25280000	20	21	domain	23
chr1	25280000	25400000	21	21	gap	23
chr1	25400000	26440000	21	21		23
chr1	26440000	26920000	21	21	boundary,domain	23
chr1	26920000	27840000	21	21	domain	23
chr1	27840000	28240000	21	21	boundary,domain	23
chr1	28240000	28640000	21	5	domain	23
chr1	28640000	28760000	5	2	boundary,domain	23
chr1	28760000	28880000	2	1		23
chr1	28880000	29240000	1	21		23
chr1	29240000	30720000	21	21	domain	23
chr1	30720000	30920000	21	18	boundary,domain	23
chr1	30920000	31160000	18	21	boundary,domain	23
chr1	31160000	31440000	21	21	boundary,domain	23
chr1	31440000	32080000	21	21	boundary,domain	23
chr1	32080000	32400000	21	20	boundary,domain	23
chr1	32400000	32880000	20	21	boundary,domain	23
chr1	32880000	33120000	21	21	boundary,domain	23
chr1	33120000	33520000	21	12	boundary,domain	23
chr1	33520000	34760000	12	21		23
chr1	34760000	35840000	21	21		23
chr1	35840000	36080000	21	21		23
chr1	36080000	36480000	21	21	boundary,domain	23
chr1	36480000	37800000	21	5	domain	23
chr1	37800000	38840000	5	21		23
chr1	38840000	39600000	21	21	domain	23
chr1	39600000	39760000	21	21	boundary,domain	23
chr1	39760000	40040000	21	21	boundary,domain	23
chr1	40040000	40560000	21	21	boundary,domain	23
chr1	40560000	40840000	21	11	boundary,domain	23
chr1	40840000	41000000	11	21	boundary,domain	23
chr1	41000000	41520000	21	21	boundary,domain	23
chr1	41520000	42800000	21	21	domain	23
chr1	42800000	43160000	21	21	boundary,domain	23
chr1	43160000	43760000	21	8	domain	23
chr1	43760000	44080000	8	21	domain	23
chr1	44080000	44720000	21	21	domain	23
chr1	44720000	45320000	21	15	domain	23
