chr	start	end	persistence_left	persistence_right	type	w
chr1	80000	1760000	21	21	gap	23
chr1	1760000	2040000	21	21	domain	23
chr1	2040000	2880000	21	21	gap	23
chr1	2880000	3080000	21	21	domain	23
chr1	3080000	3120000	21	21	gap	23
chr1	3120000	3360000	21	21	domain	23
chr1	3360000	3600000	21	21	gap	23
chr1	3600000	6240000	21	21	domain	23
chr1	6240000	6280000	21	21	gap	23
chr1	6280000	6440000	21	21	domain	23
chr1	6440000	6480000	21	21	gap	23
chr1	6480000	7960000	21	21		23
chr1	7960000	8360000	21	21	boundary,domain	23
chr1	8360000	8880000	21	21	boundary,domain	23
chr1	8880000	9120000	21	19	boundary,domain	23
chr1	9120000	9600000	19	21	boundary,domain	23
chr1	9600000	10640000	21	21		23
chr1	10640000	10680000	21	21	gap	23
chr1	10680000	11800000	21	11	domain	23
chr1	11800000	12840000	11	21		23
chr1	12840000	13360000	21	21	gap	23
chr1	13360000	16040000	21	21	domain	23
chr1	16040000	16080000	21	21	gap	23
chr1	16080000	16480000	21	21	domain	23
chr1	16480000	16880000	21	21	gap	23
chr1	16880000	18600000	21	20	domain	23
chr1	18600000	18880000	20	21	boundary,domain	23
chr1	18880000	19120000	21	19	boundary,domain	23
chr1	19120000	19880000	19	21	boundary,domain	23
chr1	19880000	20200000	21	8	boundary,domain	23
chr1	20200000	21400000	8	21	domain	23
chr1	21400000	21440000	21	21	gap	23
chr1	21440000	21960000	21	21	domain	23
chr1	21960000	22000000	21	21	gap	23
chr1	22000000	22960000	21	21	domain	23
chr1	22960000	23280000	21	14	boundary,domain	23
chr1	23280000	23760000	14	21	boundary,domain	23
chr1	23760000	24080000	21	21	boundary,domain	23
chr1	24080000	25280000	21	21	domain	23
chr1	25280000	25440000	21	21	gap	23
chr1	25440000	26440000	21	21		23
chr1	26440000	26920000	21	21	boundary,domain	23
chr1	26920000	27280000	21	18	boundary,domain	23
chr1	27280000	27720000	18	20		23
chr1	27720000	28080000	20	15	boundary,domain	23
chr1	28080000	28240000	15	21	boundary,domain	23
chr1	28240000	28760000	21	7		23
chr1	28760000	28880000	7	5	boundary,domain	23
chr1	28880000	29240000	5	21	boundary,domain	23
