event_ID	test_ID	target_id	gene_name	num_aggregated_transcripts	sum_mean_obs_counts	pval	qval	chr	start	end	strand	Mutated	Nonmutated	log2fc	status
PCa13266_0	1	ENSG00000113805.8	CNTN3	2	12.4830582706585	0.688663126334186	0.999985122406523	chr3	74262568	74521140	-	14.2026095124341	19.2857559949024	-0.416148086804263	none
PCa13266_0	1	ENSG00000241022.1	NIPA2P2	1	1.44599090433178	0.699749502388646	0.999985122406523	chr3	75084155	75085237	+	0.157293895813436	0.150906017658754	0.00798525605118565	none
PCa13266_1	3	ENSG00000185008.17	ROBO2	6	19.2497752323707	0.703764214774314	0.9999978980913	chr3	75906695	77649964	+	1.4824821963813	1.92064067718434	-0.23450150488128	none
PCa13266_2	4	ENSG00000112837.17	TBX18	1	2.97585688306865	0.660499946885977	0.999976965874519	chr6	84687351	84764598	-	0.36273774447481	0.272245484640385	0.0991308747278351	none
PCa13266_2	4	ENSG00000135315.12	CEP162	7	30.6081658012917	0.991817481449914	0.999976965874519	chr6	84124241	84227643	-	10.5300478701557	10.7109017250731	-0.0224536631190028	none
PCa13266_2	5	ENSG00000152894.14	PTPRK	17	61.9719590339985	0.855074933148172	0.999976965874519	chr6	127968779	128520674	-	24.5021378834011	29.6403249346605	-0.264813401347352	none
PCa13266_2	5	ENSG00000172673.10	THEMIS	5	13.1116452000609	0.889926725528612	0.999976965874519	chr6	127708072	127918631	-	2.13286492329979	1.04106291211155	0.618161916217492	none
PCa13266_2	5	ENSG00000260212.1	AL356432.3	1	2.25173109178855	0.536625783231238	0.999976965874519	chr6	127659424	127660338	+	2.42911967868738	1.4997275869778	0.456067373467924	none
PCa13848_0	6	ENSG00000137968.16	SLC44A5	2	8.25617448189581	0.550671594992678	0.999999965222706	chr1	75202131	75611116	-	0.370142485195759	0.944465560419169	-0.505047751432949	none
PCa13848_0	6	ENSG00000230863.3	AL137803.1	1	4.77511034682584	0.673293976822435	0.999999965222706	chr1	75641178	75724049	-	2.97868685797649	2.85496705826824	0.0455738244018771	none
PCa13848_0	7	ENSG00000162618.15	ADGRL4	1	6.9106634410086	0.552466178649325	0.999999965222706	chr1	78889764	79282124	-	7.73961839068659	6.56018703963547	0.209148359553804	none
PCa13848_1	8	ENSG00000117222.14	RBBP5	2	13.4585366291011	0.24557839772614	0.999999965222706	chr1	205086142	205122015	-	10.7269546460851	8.42568210923593	0.315159479937428	up and down
PCa13848_1	8	ENSG00000117266.15	CDK18	6	17.0434421814226	0.306321667386422	0.999999965222706	chr1	205504595	205532793	+	1.64954180989072	2.05332994383546	-0.204640602713451	up and down
PCa13848_1	8	ENSG00000133059.17	DSTYK	3	17.6482025431529	0.792412021589404	0.999999965222706	chr1	205142505	205211702	-	5.79201255685565	5.5120785809909	0.060721017449521	up and down
PCa13848_1	8	ENSG00000133069.17	TMCC2	3	6.12052776452193	0.66314072050597	0.999999965222706	chr1	205227946	205285632	+	0.28832450933498	0.296547570378995	-0.00917910754837562	up and down
PCa13848_1	8	ENSG00000158711.14	ELK4	4	23.4869419127158	0.00458204347905661	0.107515752510973	chr1	205597556	205632011	-	47.5843385336548	102.684255497729	-1.09363360478436	up and down
PCa13848_1	8	ENSG00000158715.6	SLC45A3	2	20.0945892490955	1.03683443014048e-05	0.000866066913313073	chr1	205657851	205680509	-	50.8575991367155	350.873662666479	-2.76243021402303	up and down
PCa13848_1	8	ENSG00000162873.14	KLHDC8A	1	1.06335380736016	0.253297019789071	0.999999965222706	chr1	205336065	205357090	-	0.0737272172475742	0.121882421464259	-0.0632939626311518	up and down
PCa13848_1	8	ENSG00000163531.15	NFASC	17	66.5438154600388	0.0107476770249807	0.193325429687672	chr1	204828651	205022822	+	5.20184230589876	8.51028323562638	-0.616791465082283	up and down
PCa13848_1	8	ENSG00000174514.13	MFSD4A	2	8.63819958289923	0.313824917342932	0.999999965222706	chr1	205568885	205602918	+	1.63907337048231	1.52020099366498	0.0664926628489677	up and down
PCa13848_1	8	ENSG00000174529.7	TMEM81	1	4.01610282531409	0.793120744896101	0.999999965222706	chr1	205083129	205084460	-	0.724114591642139	0.683254054899323	0.0346027247379444	up and down
PCa13848_1	8	ENSG00000184144.12	CNTN2	5	11.7804515318573	0.633998403780452	0.999999965222706	chr1	205042937	205078289	+	0.616150148836554	0.55230862468642	0.0581458205311734	up and down
PCa13848_1	8	ENSG00000229657.2	AL391822.1	1	3.44439263303883	0.0364196725941624	0.421467685331853	chr1	204946608	204947169	+	0.316088425399499	1.21183677574833	-0.748988500495058	up and down
PCa13848_1	9	ENSG00000004809.14	SLC22A16	1	5.00600013440881	0.886759077025863	0.999999998529337	chr6	110424687	110476641	-	1.84953363055833	1.91508492390063	-0.032812093794511	up and down
PCa13848_1	9	ENSG00000053328.8	METTL24	2	6.58565493503296	0.519525278466288	0.999999998529337	chr6	110245928	110358272	-	1.88404594227442	2.84121178485634	-0.413467362314509	up and down
PCa13848_1	9	ENSG00000112290.13	WASF1	8	23.0424940829814	0.981738732484858	0.999999998529337	chr6	110099819	110180004	-	3.95113575861024	5.09187187240877	-0.299126090496776	up and down
PCa13848_1	9	ENSG00000112365.4	ZBTB24	1	7.70110749788169	0.00158329729590221	0.0496769180841122	chr6	109462594	109483237	-	22.1230271484162	7.42981713976072	1.45575703888846	up and down
PCa13848_1	9	ENSG00000112367.10	FIG4	5	19.4450577920054	0.915613482446807	0.999999998529337	chr6	109691312	109825428	+	11.3287511887016	12.9731548822927	-0.180631118820379	up and down
PCa13848_1	9	ENSG00000135587.9	SMPD2	3	13.2998443683028	0.40760652319961	0.999999998529337	chr6	109440724	109443919	+	12.7811905572571	9.01173874547664	0.461007978109886	up and down
PCa13848_1	9	ENSG00000135596.18	MICAL1	7	28.9307451978248	0.0220187616366288	0.311948623010565	chr6	109444062	109465968	-	15.0492838484172	9.67368588070416	0.588450463273765	up and down
PCa13848_1	9	ENSG00000155085.15	AK9	9	35.443701377117	0.376010840307941	0.999999998529337	chr6	109492856	109691217	-	8.19302412674825	10.8149937414461	-0.362007433076158	up and down
PCa13848_1	9	ENSG00000168438.15	CDC40	4	18.3946879992494	0.971160876476992	0.999999998529337	chr6	110180141	110254275	+	22.2643358387894	23.139285432072	-0.0532629693117123	up and down
PCa13848_1	9	ENSG00000185250.16	PPIL6	5	12.6812959893943	0.793370283941728	0.999999998529337	chr6	109390215	109441171	-	2.01549511140491	3.01318419038728	-0.412352475668518	up and down
PCa13848_1	9	ENSG00000203797.10	DDO	2	6.809149193591	0.513176177027026	0.999999998529337	chr6	110391771	110415575	-	1.28974115425895	0.743326217189296	0.393341960073013	up and down
PCa13848_10	28	ENSG00000043355.12	ZIC2	1	3.66212862101306	0.377733933326086	0.999999965222706	chr13	99981784	99986765	+	1.13219645289737	0.678412350751455	0.345243169672232	none
PCa13848_10	28	ENSG00000088387.19	DOCK9	16	70.3645069851296	0.0613083054823719	0.572269407334499	chr13	98793429	99086625	-	42.9748694165609	33.1547626514644	0.364592526975352	none
PCa13848_10	28	ENSG00000125245.12	GPR18	1	2.45225767888644	0.734026124962418	0.999999965222706	chr13	99254714	99261744	-	0.268509176237202	0.30476822368776	-0.0406595964940819	none
PCa13848_10	28	ENSG00000125246.15	CLYBL	4	16.4116532017195	0.98001821557428	0.999999965222706	chr13	99606669	99897134	+	3.39401165863932	4.60507236169685	-0.351194300726936	none
