eigval1	eigval2	eigval3
1346.5623621909588	-802.90915974922	620.4357488449006
1192.0582380560868	547.6421184702231	481.2176981811514
1066.6160616761026	972.2546165715898	-772.8965500711371
655.8416404079154	475.39159395800056	-435.66904903289645
813.3260884706649	-382.4203429722643	360.4868923677711
997.4561048635994	-705.1584930513186	412.1461533935961
797.3942002516422	437.1451383212383	-350.58494936306624
808.4915446719161	-443.5507006191459	386.02983732429493
514.1369344449876	-379.9755841431534	372.0125143048656
834.8456604361922	351.6800906825943	346.0052595947975
1018.0428323239074	-468.9537538274034	408.11454878057253
855.1967215328905	-334.1697568062271	303.4636499296362
363.4693344267434	-320.8339543562172	257.909012897663
493.1269730370017	210.34328760265598	-203.1723658733718
436.8401934256925	220.2760705055577	-218.10714570179238
499.59390450975854	278.37623107873384	-196.95288784227412
451.66913708866184	205.86591937134725	-181.22863518065446
293.73803643006727	-134.67855885188757	125.87288591832257
330.0401879586076	241.87004163427312	-193.25007690378266
332.3365895299727	212.38240836903464	-207.82611378547486
235.94652735581533	-141.13536546527487	-103.20910209715558
150.8533808702155	102.97712503363891	-83.31478352148868
656.4721235952478	543.5407801211155	-455.5255460494419
63.00847403142728	-60.288235609160985	-57.152744106753595
		
