name	chr	start	end	strand	Ensembl_ID	22Rv1	DU145	LNCaP	MDA PCa 2b	NCI-H660	PC3	VCaP	start_tad	end_tad	Fraction
A1BG	chr19	58345177	58353492	-	ENSG00000121410.12	-0.0193311920009	-0.0177612653821	-0.161681666974	0.116774739845	-0.0208677166392	-0.0591841709857	-0.277705716687	58160000	58360000	0.03254
A2M	chr12	9067663	9116229	-	ENSG00000175899.14	0.0335641207308	-0.147261928197	-0.095859461089	-0.103797326091	-0.318018024546	0.0659363877252	0.101424035264	8440000	9280000	0.194965476190476
A2ML1	chr12	8822620	8887001	+	ENSG00000166535.20	-0.0724666758991	0.0544994883017	0.797643685163	0.37585821332	-0.0127324422019	0.362082853018	0.252933482591	8640000	8920000	0.652214285714286
A3GALT2	chr1	33306765	33321098	-	ENSG00000184389.9								33120000	33480000	0.441394444444444
A4GALT	chr22	42692120	42721298	-	ENSG00000128274.17	-0.0753441720649	0.0699525756871	0.0364560037848	0.0942132863648	-0.247281158921	0.0224250102869	-0.0344499760996	42560000	42840000	0.423935714285714
A4GNT	chr3	138123712	138132390	-	ENSG00000118017.4	0.126003577083	-0.0529653813297	-0.15407758114	-0.115861944151	-0.24522865136	0.00402678100758	-0.224119939028	138000000	138600000	0.77935
AACS	chr12	125065433	125143333	+	ENSG00000081760.17	-0.252403529655	0.178110208454	0.145893347833	0.0270378605145	0.263380783959	-0.229589644703	-0.274455729729	124960000	125160000	0.527165
AADAC	chr3	151814072	151828488	+	ENSG00000114771.14	-0.222229932385	-0.0220138618292	-0.0223913580883	0.349977975462	-0.268484597935	-0.181988029023	-0.28449931606	151440000	152480000	0.359684615384615
AADACL2	chr3	151733915	151761339	+	ENSG00000197953.6		-0.150432270412	0.0308002100045	-0.0973460876706		-0.0540712403771		151440000	152480000	0.282610576923077
AADACL3	chr1	12716109	12728760	+	ENSG00000188984.12								12240000	12800000	0.850194642857143
AADACL4	chr1	12644546	12667086	+	ENSG00000204518.2		0.215390559645	0.00281275715299	-0.0918218686086		-0.0937612808737		12240000	12800000	0.722403571428572
AADAT	chr4	170060221	170091699	-	ENSG00000109576.14	-0.188793357353	0.233615830833	-0.230747517424	0.0768834565297	0.361842562395	0.103228607874	0.0406114620728	169760000	170120000	0.0786138888888889
AAGAB	chr15	67200666	67255195	-	ENSG00000103591.13		-0.164599008316	-0.286878031091	-0.163205140087		0.0334949919082		66880000	67280000	0.0620125
AAK1	chr2	69457996	69674349	-	ENSG00000115977.19	-0.084680788491	0.0868934787519	0.0821975183813	0.0986579859229	0.028860475858	-0.0563375679347	0.23185856049	69320000	69720000	0.1141275
AAMDC	chr11	77821108	77918432	+	ENSG00000087884.14		-0.0295793601317	0.128324913861					77640000	77920000	0.646814285714286
AAMP	chr2	218264122	218270257	-	ENSG00000127837.9		-0.467882765312	-2.02797244755	-0.912318532645		-0.177172091804		218120000	218400000	0.463367857142857
AANAT	chr17	76453350	76470117	+	ENSG00000129673.9	-0.307415332743	-0.0911996747511	0.0516561090636	-0.0889208861148	0.0683768726546	0.0755917598534	-0.0347056281182	76440000	76720000	0.0476785714285714
AAR2	chr20	36236458	36270918	+	ENSG00000131043.12		0.146483755873	-0.52226328786	-0.14109562236		0.0217446562582		36160000	36440000	0.273064285714286
AARD	chr8	116938206	116944487	+	ENSG00000205002.4		0.383979070275	0.448527903671	0.113527100367		0.364842233415		116760000	117040000	0.63645
AARS1	chr16	70252294	70289543	-	ENSG00000090861.15								70240000	70520000	0.823060714285714
AARS2	chr6	44298730	44313347	-	ENSG00000124608.5	0.000194181614458	0.060231638885	0.151273003095	0.225239357128	0.105418508359	-0.0812502643753	0.0600732054402	44080000	44440000	0.351813888888889
AARSD1	chr17	42950525	42964498	-	ENSG00000266967.7								42840000	43000000	0.2218875
AASDH	chr4	56338286	56387508	-	ENSG00000157426.14	0.0555094647589	0.18028776509	0.152307896499	-0.101046218042	-0.0990039880234	-0.205895117051	-0.0672442106733	55880000	56400000	0.0240230769230769
AASDHPPT	chr11	106075500	106098699	+	ENSG00000149313.11	-0.0855046856069	0.246870068473	-0.109632620615	0.181392646903	0.0360815562895	-0.0650436872837	-0.14545935795	106000000	106320000	0.2359375
AASS	chr7	122073548	122144255	-	ENSG00000008311.15	-0.189337399835	0.0631181124036	0.122198269789	0.0645710602782	-0.226912925637	-0.0189374810606	-0.149215199896	122040000	122520000	0.782802083333333
AATF	chr17	36948953	37056871	+	ENSG00000275700.5	-0.486522833939	-0.0796120872292	-0.392550113257	-0.557822752741	-0.144167189623	-0.145029746551	-0.32820449987	36920000	37080000	0.18095625
AATK	chr17	81110486	81166221	-	ENSG00000181409.14	-0.102102708997	-0.139663438786	-0.0114590729947	-0.121286098518	0.0445018296612	-0.0359903812366	-0.40860110704	80960000	81240000	0.263496428571429
ABAT	chr16	8674595	8784575	+	ENSG00000183044.12	-0.227807905686	0.0465520248711	-0.236964788985	-0.163317502266	-0.280797948833	-0.05308517636	-0.347372847588	8560000	8880000	0.358109375
ABCA1	chr9	104781005	104928155	-	ENSG00000165029.16	-0.157735194544	-0.0149926450786	0.0815295175066	-0.0485903359533	-0.505124089809	-0.182831885189	-0.293358494511	104760000	105160000	0.5796125
ABCA10	chr17	69147213	69244846	-	ENSG00000154263.17	-0.182598811313	-0.256083200799	0.126080486951	-0.0692658991668	-0.326306982089	-0.0298543313865	-0.2332294337	68760000	69320000	0.134203571428571
ABCA12	chr2	214931541	215138626	-	ENSG00000144452.15	-0.277939679741	-0.018783316385	0.0344908515824	-0.20007780694	-0.181771317215	-0.211484511444	0.0874514512761	213160000	215280000	0.0666858490566038
ABCA13	chr7	48171457	48647497	+	ENSG00000179869.15	0.563076681906	0.0126256274463	-0.0765772081958	0.147241131066	-0.0178211954448	0.136586588233	0.210247418109	48160000	48840000	0.0168485294117647
ABCA2	chr9	137007233	137028922	-	ENSG00000107331.17	0.0961780747178	-0.0370739349317	-0.0118688238633	-0.00101598880113	-0.404029918937	-0.0819035873311	-0.0708947747432	136760000	137080000	0.15961875
ABCA3	chr16	2275880	2340746	-	ENSG00000167972.14	-0.133364342658	0.197567155697	-0.114539790625	-0.158189222301	0.531950563293	-0.296862189064	-0.18496103941	2120000	2560000	0.498304545454545
ABCA4	chr1	93992833	94121148	-	ENSG00000198691.13	0.102818407616	0.157527724376	-0.0476815474087	0.129576439741	-0.530076787308	0.17623594448	-0.15896364881	93880000	94360000	0.497608333333333
ABCA6	chr17	69078701	69141895	-	ENSG00000154262.13	0.109416500682	-0.0509209495335	-0.117403167232	0.0461294612703	-0.0492594149563	-0.105935423152	0.0855724269386	68760000	69320000	0.318044642857143
ABCA7	chr19	1039996	1065572	+	ENSG00000064687.13	-0.1666771148	-0.023478300024	-0.0312625905563	0.152797493396	0.0187789287262	0.108393450492	0.0937372065873	1000000	1280000	0.142842857142857
ABCA8	chr17	68867288	68955392	-	ENSG00000141338.14		-0.0484245296129	0.141185139125	0.220675494948		0.00114168983006		68760000	69320000	0.651085714285714
