eigval1	eigval2	eigval3
2031.9558039838207	-1149.26057549772	1003.7811761751908
1813.5782410904533	820.9580111178774	737.4746226924992
1489.5440940108858	1262.786592004629	-906.7288285483542
995.0606991454603	591.0346957565033	-547.7341975668006
1213.1372800253275	-533.0391935258592	516.9754191850737
1294.3402309343603	-837.7973880976359	643.5490040261583
1144.4301557583817	729.938694172452	-576.1956371217324
1122.5765603491468	-562.4043420026179	480.2738974053187
821.9145359345903	539.8796779117225	-519.4212827856118
1113.8884181408341	520.2279585306597	441.10103522284584
1347.0954093150733	-613.0384223357755	597.168142301818
1195.8645351103687	446.28356206601313	-432.492192332214
539.2834434209299	-483.29477031607576	382.0850154704453
714.5553320240999	297.1827831125654	-260.5639586553736
691.2916281774759	-313.15131115563196	308.96638410969564
687.7862401785004	317.43718632579424	-258.97273707114795
606.3370272830838	312.63802628800903	-224.74563104931775
404.1462179195421	169.96177930796983	-143.045120291326
546.6125077795948	373.3352796388904	-305.9410764433265
434.8190933921647	318.4068437493588	-286.74187249725793
274.72316247824017	-176.5835345097496	119.0704367371726
220.36714242444887	114.81863963422099	-89.09321751887582
931.119074011216	673.5362229866943	-601.2364121174304
-72.29073198057759	71.41231641670174	59.69421915324958
		
