eigval1	eigval2	eigval3
1680.225543189324	-870.2505479466786	748.6313886243063
1510.904131861492	656.1142246823042	653.846466960848
1414.242142756551	1042.3404056304362	-798.8659871274738
870.3397819068899	-599.0670839453114	549.7801205668085
1003.8220301978785	-469.01757935880096	447.2488235593853
1286.6119110206384	-814.1886392006669	496.8000250833733
1032.2404769829288	538.713835129398	-429.64604756819557
918.3833778036733	-526.3869686963077	461.73751306596466
668.0902015732598	497.93200927598474	-466.7210419619322
1087.329285364053	-456.8353190779112	444.907858720395
1212.0478879074772	-558.2494799491008	473.4552169213741
937.7154022477238	-395.8693454912235	375.6838398981502
456.57591792942935	-416.65031389921614	362.3357777567951
617.9860999124775	265.58557383115556	-265.1148274167005
593.598568511362	-300.035233865808	232.65550144794886
648.6581896255225	331.54076167020753	-269.0622904859476
471.11471478989415	207.9254928671682	-186.07900644046848
368.9035738954169	-179.69550081392381	151.3111064478686
354.72373084741025	273.9477252168403	-223.18252530993988
392.94948478601185	284.81861194357384	-244.97821108126593
208.42018924299492	-170.14291104217068	95.97038603131408
205.20585683214455	102.66813814302621	-91.59876277059217
859.7554483085012	688.7528250111676	-617.0208210637562
-69.14520392676718	68.59029346944423	-56.569245728245576
		
