chr	start	end	strand	ens_gene	gene_name	target_id	transcript_name	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
chrY	10197256	10199103	-	ENSG00000225840.2	AC010970.1	ENST00000445125.2	AC010970.1-201	0.180610738523803	0.968513953902437	1.27286396030161	0.950695261186798	13.0917071042644	2.5838539291794	4.04745221237943e-06	2.41018656492921	0.227954513401239	2.41018656492921
chrY	10200155	10200306	+	ENSG00000251705.1	RNA5-8SP6	ENST00000515896.1	RNA5-8SP6-201	0.699198904970297	0.968513953902437	-0.536687824500877	1.38893614455167	6.97705280120224	4.74653817148804	0.0026601715449086	5.14172279816728	0.11958568736619	5.14172279816728
chrY	11153858	11159013	-	ENSG00000278212.2	AC134878.2	ENST00000620700.2	AC134878.2-201	0.207979000690677	0.968513953902437	0.781327265788422	0.620523489088152	2.17785234175433	0.365418383336579	0.176405065549813	0.0627625437832475	0.850393335810542	0.850393335810542
chrY	11155654	11215026	-	ENSG00000278212.2	AC134878.2	ENST00000652671.1	AC134878.2-202	0.273800658922742	0.968513953902437	1.17558074688474	1.07422550020487	1.7379504949623	3.13250772008489	0.292789811166615	2.7844379896078	1.16111526899714	2.7844379896078
chrY	11162450	11215018	-	ENSG00000278212.2	AC134878.2	ENST00000651211.1	AC134878.2-203	0.00716625234328265	0.666461467925286	0.621694309857733	0.231197513726768	6.67772876453114	0.223279204471242	0.00201074472425214	0.140528696218252	0.120570409967708	0.140528696218252
chrY	11957208	11987386	+	ENSG00000235649.2	MXRA5Y	ENST00000420610.1	MXRA5Y-201	0.859312961368321	0.968513953902437	-0.162593502453044	0.917317902962438	2.84787729160614	2.04634133284703	0.0597769690432986	2.18414872454445	0.48509992734612	2.18414872454445
chrY	12088010	12421378	-	ENSG00000206159.11	GYG2P1	ENST00000651802.1	GYG2P1-206	0.800838934081543	0.968513953902437	-0.147283656084623	0.583853058001511	2.3231983853978	0.256364571108422	0.149714423731002	0.126501944395022	0.759310625169575	0.759310625169575
chrY	12205716	12421587	-	ENSG00000206159.11	GYG2P1	ENST00000651835.1	GYG2P1-207	0.481714499476102	0.968513953902437	-0.542156882752391	0.770604314186666	2.41857268088049	1.5108470729568	0.0864017836588772	1.49714757378939	0.703702613563587	1.49714757378939
chrY	12354416	12420456	-	ENSG00000206159.11	GYG2P1	ENST00000382966.5	GYG2P1-204	0.085595565380215	0.968513953902437	-0.942316408491389	0.548144147332686	2.52300918800241	0.461485925662981	0.154333908171858	0.116511219734192	0.646898108508348	0.646898108508348
chrY	12383189	12418294	-	ENSG00000206159.11	GYG2P1	ENST00000493160.5	GYG2P1-205	0.185571953982718	0.968513953902437	-0.673184099176259	0.508526886366294	2.65342579726141	0.647140827791012	0.108156665034479	0.482851090499967	0.581442252718582	0.581442252718582
chrY	12402251	12420456	-	ENSG00000206159.11	GYG2P1	ENST00000357871.6	GYG2P1-201	0.565136519915453	0.968513953902437	-0.132607689060177	0.230530308722295	4.80305187634184	0.0791295711378597	0.0108523696403656	0.0715008788251785	0.130865558998559	0.130865558998559
chrY	12406123	12420372	-	ENSG00000206159.11	GYG2P1	ENST00000382963.5	GYG2P1-202	0.0999993815189537	0.968513953902437	-0.601681694719262	0.365795830133759	3.31355728702338	0.15577616506039	0.0489974981933072	0.0258173869037236	0.307820073388682	0.307820073388682
